date,ams_orders,Spend,adGroupName,campaignId,Impressions,14 Day Total Sales (₹),adGroupId,raw_sku,asin,Clicks,campaignName,14 Day Total Units (#),sku,model,brand,category_l0,category_l1,category_l2,ad_account
2026-08-03,0,0.0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,82,0.0,387060877405390,FBA79260,B07GVGMW59,0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-04,0,0.0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,86,0.0,387060877405390,FBA79260,B07GVGMW59,0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-05,0,0.0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,73,0.0,387060877405390,FBA79260,B07GVGMW59,0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-06,0,19.79,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,54,0.0,387060877405390,FBA79260,B07GVGMW59,1,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-07,0,13.53,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,109,0.0,387060877405390,FBA79260,B07GVGMW59,2,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-08,0,15.58,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,191,0.0,387060877405390,FBA79260,B07GVGMW59,1,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-09,0,0.0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,40,0.0,387060877405390,FBA79260,B07GVGMW59,0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-10,0,32.66,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,109,0.0,387060877405390,FBA79260,B07GVGMW59,2,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-11,0,0.0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,76,0.0,387060877405390,FBA79260,B07GVGMW59,0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
2026-08-12,0,0.0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,371931674495691,72,0.0,387060877405390,FBA79260,B07GVGMW59,0,Audio Array-B07GVGMW59-Tonor G11-SP-KT-Exact/Phrase,0,FBA77102,G11,Tonor,,,,AudioArray
