SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79683,AP-01,B0DVC9PRSD,B0DVC9PRSD,NexLev Air Purifier for Living Room | 650 sqft Area |True HEPA 13 with 8500 Hrs Filter Life |Captures 99.99% Virus and PM 2.5 |Smart AQI Indicator |Home & Office Use|App Support|Sleep & Auto Mode| A6,775,46,0.14%,0.57%,"1,041",72,0.14%,0.68%,59.89%,61.90%,4,1,0.52%,2.17%,"₹ 44,207.63","₹ 14,290.00",4,1
FBA79689,CFM-02,B0DVSZ2VVJ,B0DVSZ2VVJ,"NexLev Calf Massager Pro|Complete Feet Calf Knee and Thigh Massage|Hand like Massage with Air Compression and Heat Therapy|Pain Relief,Muscle Recovery & Enhanced Blood Circulation|3 Intensities|CFM-02",763,17,0.14%,0.21%,"1,177",29,0.16%,0.27%,97.64%,100.00%,4,0,0.52%,0.00%,"₹ 19,827.12",₹ 0.00,4,0
FBA79606,LR-01 Set of 2 blades,B0F2N37819,B0F2N37819,NexLev Replacement Stainless Steel Blades (Set of 2) | Compatible with NexLev Lint Remover LR-01 | Sharp & Durable Blades for Effective Fabric Defuzzing | Easy to Replace | Smooth & Safe Performance,448,10,0.08%,0.12%,522,11,0.07%,0.10%,100.00%,100.00%,4,1,0.89%,10.00%,"₹ 1,271.19",₹ 375.00,4,1
FBA78994,NP-01,B0CDQ98FDM,B0CDQ98FDM,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-01",62,2,0.01%,0.02%,79,2,0.01%,0.02%,87.84%,100.00%,3,0,4.84%,0.00%,"₹ 1,423.73",₹ 0.00,3,0
FBA79267,T-02,B0D2LD6BYJ,B0D2LD6BYJ,"NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Foil Shaver| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime |2H Quick Charge |T-02",510,2,0.09%,0.02%,687,3,0.10%,0.03%,18.06%,0.00%,3,0,0.59%,0.00%,"₹ 2,801.69",₹ 0.00,3,0
FBA79481,TM-02,B0DFMRG2K4,B0DFMRG2K4,"NexLev All in One Body Trimmer for Men | Suitable for Beard, Body, Balls, Pubic Hair, Private Parts | 90 Min Runtime |Type C | IPX 7 Waterproof | No Nicks No Cuts | 2 Safety Combs| Extra Blade | TM-02",337,8,0.06%,0.10%,402,9,0.06%,0.09%,38.34%,25.00%,3,0,0.89%,0.00%,"₹ 5,107.63",₹ 0.00,3,0
FBA79599,VC-06,B0DRD8J8R5,B0DRD8J8R5,nexlev Handheld Vacuum Cleaner| 600 W | 17.5 Kpa Suction | 5 M Cord | Lightweight | Washable Hepa Filter and Dust Container| 4 Attachments | Compact Size | Home & Office Use| VC-06,602,6,0.11%,0.07%,722,6,0.10%,0.06%,91.59%,100.00%,3,0,0.50%,0.00%,"₹ 3,455.08",₹ 0.00,3,0
FBA79810,MF-01,B0FS7T8151,B0FS7T8151,NexLev Rechargeable Milk Frother & Coffee Whisker | 3 Speed | Stainless Steel Dual Spring Tech | Perfect for Coffee Lattes Milk Hot Chocolate Omlete & Cream | Handheld Beater for Foam |MF-01,186,1,0.03%,0.01%,212,1,0.03%,0.01%,100.00%,0.00%,3,0,1.61%,0.00%,"₹ 1,260.17",₹ 0.00,3,0
FBA79569,LE-06,B0G1YKMFWT,B0G1YKMFWT,Nexlev Red Light Therapy Wand for Face and Neck| EMS Skincare Massager | Microcurrent| Glass Skin Therapy| Wrinkle Reduction| Anti-Aging Skin Tightening Machine| Face Sculpting Tool| LE-06,63,3,0.01%,0.04%,87,3,0.01%,0.03%,100.00%,100.00%,3,0,4.76%,0.00%,"₹ 4,319.49",₹ 0.00,3,0
FBA79272,HS-01,B0D2LFMY48,B0D2LFMY48,"Nexlev Hair Styling Straightener & Curler| 2 in 1 Hair Styler| 200°C in 30 Seconds| Long Ceramic Floating Plates| Rounded Body for Curls| Plate Lock| Portable HS-01, Hair Straightener Tong - Black",286,2,0.05%,0.02%,320,3,0.04%,0.03%,37.00%,0.00%,2,0,0.70%,0.00%,"₹ 1,259.32",₹ 0.00,2,0
