"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable","store"
"FBA79265","X0020FWBW1","B0D2LHNS9B","NexLev Foot Callus Remover Electric Scrubber & Shaver for Dead, Hard & Cracked Skin Professional Pedicure at Home Waterproof Type C 3 Crystal Quartz Heads for Men and Women CR-01","New","729.00","No",,"Yes","52","4","1","47","272","1192.49","190","30","0","0","0","0",
"FBA79266","X0020G6RAR","B0D2LGR3GG","NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Safety Guards| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime | Type C | T-01","New","1091.00","No",,"Yes","0","0","0","0","0","765.11","0","0","0","0","0","0",
"FBA79267","X0020G121B","B0D2LD6BYJ","NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Foil Shaver| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime |2H Quick Charge |T-02","New","1266.00","No",,"Yes","57","41","0","6","57","721.03","0","0","0","10","0","0",
"FBA79268","X0020OHLDV","B0D383WQPB","NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05","New","1896.00","No",,"Yes","247","246","0","1","247","3798.36","0","0","0","0","0","0",
"FBA79271","X0022IERCN","B0D83Q7L8W","NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tangle Free Bristle | 1200W | 3 Speed & 2 Heat Settings|V-01","New","1406.00","No",,"Yes","96","95","0","1","168","4006.15","72","0","0","0","0","0",
"FBA79272","X0020G86UB","B0D2LFMY48","Nexlev Hair Styling Straightener & Curler| 2 in 1 Hair Styler| 200°C in 30 Seconds| Long Ceramic Floating Plates| Rounded Body for Curls| Plate Lock| Portable HS-01, Hair Straightener Tong - Black","New","750.00","No",,"Yes","10","10","0","0","34","1354.23","12","12","0","0","0","0",
"FBA79273","X0020G1B0X","B0D2LKB4BJ","Nexlev Hair Styling Straightener & Curler| 2 in 1 Hair Styler| 200°C in 30 Seconds| Long Ceramic Floating Plates| Rounded Body for Curls| Plate lock| Portable |HS-02, Hair Straightener Tong - Purple","New","791.00","No",,"Yes","38","37","0","1","39","1183.31","0","0","1","0","0","0",
"FBA79276","X0020G47PT","B0D2LJSQXZ","NexLev Steam Mop | Chemical Free Mopping | Floor Cleaning + Carpet Steaming | 4 Extra Mop-Pads |400 ML | 1300W | Floor Disinfectant | For All surface Types | 4mtr long Cord | Wet & Dry Mopping | SM-01","New","3868.00","No",,"Yes","165","162","2","0","167","23290.77","0","2","0","1","0","0",
"FBA79277","X0021NWGBN","B0D672NXC8","Nexlev SWIPE Steam Cleaner | 3.5 Bar Strong Steam|Multipurpose Steam Cleaner for Car, Kitchen, Bathroom, Floor, Window,Glass,Upholstery| 18 Accessories Kit|Safety Lock| Large 1200ML Water Tank | SC-03","New","7059.00","No",,"Yes","9","0","4","3","15","60199.68","0","6","0","2","0","0",
"FBA79278","X0022K5OBJ","B0D86ZC9YT","Nexlev Just Style Pro Hair Dryer |2100 W for Quick & Easy Blowdry | Double Heat Protection Technology | 3 Heat Settings & Cool Shot Function For Salon-Like Styling at Home (HD-01)","New","1506.00","No",,"Yes","18","18","0","0","58","2731.07","40","0","0","0","0","0",
"FBA79279","X0022J52E9","B0D8445KJN","NexLev Rechargeable Lint Remover | for Woollen Sweaters Pill, Rue & Burr Remover | 60min Use Time | Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01","New","858.00","No",,"Yes","89","89","0","0","109","902.44","20","0","0","0","0","0",
"FBA79280","X0022J93DP","B0D845B2DG","NexLev Rechargeable Lint Remover | for Woollen Sweaters Shirts Coat Curtains & Carpets | Rue & Burr Remover | 180 Min Use | TypeC | SS Blade | 2000mAh | 3 Speed Modes | Safety Lock | LR-02","New","1505.00","No",,"Yes","228","227","1","0","228","2054.61","0","0","0","0","0","0",
"FBA79332","X0021N7IF7","B0D63FKYZ5","NexLev Scalp Massager for Stress Relief | Head Massager for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Massage | 120 Min Runtime | Type C | Washable Heads | 3 Modes | HM-01","New","1001.00","No",,"Yes","29","24","0","5","29","1763.25","0","0","0","0","0","0",
"FBA79333","X0021O5OQL","B0D63DTKQB","NexLev 2 in 1 Scalp Massager & red Light Therapy |LED Massage Comb for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Head Massage | 120 Min Runtime | Type C | Washable Heads | HM-02","New","1568.00","No",,"Yes","1","0","1","0","1","1708.02","0","0","0","0","0","0",
"FBA79346","X0020BGFWR","B0D25LNDSY","Nexlev Rechargeable Electric Toothbrush| 120 Days Life | 35K strokes/min| Type C| 5 Modes for Daily Use| 2 Min timer with 30sec Quadpacer | 4 Brushheads| IPX7 Waterproof| For Men & Women | ETC-04 White","New","747.00","No",,"Yes","2","2","0","0","52","1003.22","50","0","0","0","0","0",
"FBA79348","X0022KC71T","B0D81DLSFT","Nexlev Hair Dryer for Man & Women | 1200W Foldable Hair Dryer | Cool Shot Function | 3 Heat & 2 Speed Settings | Overheat Protection | Portable Blow Dryer for Women | Black & Copper","New","999.00","No",,"Yes","139","139","0","0","139","2078.54","0","0","0","0","0","0",
"FBA79349","X00230EXN3","B0D9KDQCCM","Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all Fabrics| 1 Year Warranty| White","New","1006.00","No",,"Yes","244","224","16","3","244","2231.43","0","0","0","1","0","0",
"FBA79352","X0021MSS93","B0D637B562","Nexlev Splash Pet Water Fountain with LED Light | 2.0L Capacity | Ultra Quiet Cat Drinking Fountain with Filter | Automatic Pet Water Fountain for Cats and Small Dogs | Blue (WF-02-BL)","New","1416.00","No",,"Yes","0","0","0","0","0","5480.16","0","0","0","0","0","0",
"FBA79373","X0020H9N9D","B0D2P5TGWK","NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black","New","297.00","No",,"Yes","81","79","0","1","151","699.89","20","50","0","1","0","0",
"FBA79374","X0020GXQNX","B0D2P7WLJB","NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-02 Green","New","290.00","No",,"Yes","107","106","0","1","107","670.07","0","0","0","0","0","0",
"FBA79381","X00230D55Z","B0D9KCNVNM","Nexlev Oscillating Electric Toothbrush | 8000 Strokes/min | 25 Days Battery Life |Type C|3 modes| 2 Minute Timer |Quad Change Reminder| IPX7 Waterproof | For adults| 1 year warranty| SparklePro ETR-06","New","1256.00","No",,"Yes","42","42","0","0","42","749.05","0","0","0","0","0","0",
"FBA79404","X00230BF25","B0D9KFZYG8","NexLev Steamer For Cold & Cough| Face Steam,Inhaler & Vaporizer | Perfect for Facial & Aromatherapy | Nano Ionic Steam | Uv Sterilization | Aroma Diffuser|30 Sec Heating|Avoid Burns & Spillage | FS-01","New","1757.00","No",,"Yes","119","116","1","2","119","7093.63","0","0","0","0","0","0",
"FBA79405","X00230DRXF","B0D9KFP4MG","NexLev Ionic Hair Straightener Brush for Woman|Frizz-Free Straightening upto 12H| Ceramic Plates |60mm Wide Brush |130-210° |Keratin Bristles| Thermo Protect Technology|No Scalp Burn|1500W|HSB-03","New","1965.00","No",,"Yes","92","92","0","0","92","2005.45","0","0","0","0","0","0",
"FBA79406","X0023L3KG3","B0DCK3N2JJ","NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Frizz Free & Shiny Hair | Compact Comb Design | HSB-04","New","2713.00","No",,"Yes","79","76","1","2","84","865.56","5","0","0","0","0","0",
"FBA79439","X0023KW3JJ","B0DCK7ZH5P","NexLev Mattress, Sofa, Carpet & Car Seat Vacuum Cleaner|For Dust Mites Allergens & Pet Hair|Cordless Design|1500*3 mAh |UV Sterilization, Double Beat Technology|Type C| HEPA captures 99.99% Dust|MR-02","New","3466.00","No",,"Yes","227","220","1","3","275","14392.92","48","0","0","3","0","0",
"FBA79440","X0023JNZFV","B0DCGHKRXX","NexLev LED Phototherapy comb | Electric Scalp Massager | Red Light for Regrowth | Blue Light for Anti Dandruff | Hairfall Control | Rechargeable TypeC | Targeted Laser Treatment Machine |3 Modes |LE-02","New","2003.00","No",,"Yes","124","123","0","1","174","2369.73","50","0","0","0","0","0",
"FBA79443","X00230CWVD","B0D9KFQG8Q","Nexlev Skin Scrubber |Red & Blue LED Therapy| Blackhead Remover| Pore Cleaner| Skin Lifting & tightening, wrinkle remover| 2 Silicone Cleaning Heads| Facial Cleansing|Type C Charging| Elixir Pro LE-03","New","1801.00","No",,"Yes","22","22","0","0","72","636.47","50","0","0","0","0","0",
"FBA79452","X0023JV0A3","B0DCGHVN81","NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagless| Deep Cleaning for Sofa Bed Window & more|VC-01","New","2109.00","No",,"Yes","236","210","13","12","248","17830.27","0","12","0","1","0","0",
"FBA79463","X0023Z3NVB","B0DCK56Q85","NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02","New","2532.00","No",,"Yes","39","36","2","1","39","6369.49","0","0","0","0","0","0",
"FBA79464","X002432A75","B0DFCDKMWR","NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable | Gift for Women| Strap upto 40 Inch |Blue CM-01","New","1589.00","No",,"Yes","7","6","0","1","7","1631.5","0","0","0","0","0","0",
"FBA79466","X00247H6V1","B0DFM4JZV9","Nexlev Tyre Inflator for Car | Touch Control |150 PSI |12V DC| 4 Nozzles | Digital Tyre Pressure Gauge| Carry Bag | Suitable for Bike, Bicycle or Any Inflatable | Emergency LED Light | TI-01","New","2414.00","No",,"Yes","9","9","0","0","9","4010.9","0","0","0","0","0","0",
