amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba,order-item-id,is-prime
407-5844848-0804311,407-5844848-0804311,2026-08-31T15:56:57+00:00,2026-08-31T19:25:01+00:00,Shipped,Amazon,Amazon.in,,Expedited,"nexlev Sofa Cleaning Machine | 4-Step Vacuum Cleaner for Sofa and Bed, Allergens & Pet Hair with Double Beat, UV Light, Dehumidification & HEPA Filtra",FBA79263,B0CYSLCRQS,Shipped,1,INR,2998.0,,19.0,,,,,19.0,BENGALURU,KARNATAKA,560049,IN,,false,,,,false,67148347835882,false
406-0736469-9664335,406-0736469-9664335,2026-08-31T15:38:52+00:00,2026-08-31T16:10:04+00:00,Cancelled,Amazon,Amazon.in,,Expedited,NexLev Massager Gun For Pain Relief | 4 Head Deep Tissue Body Massage Gun For Pain Relief For Men & Women- 6 Speed Modes | Handheld Battery Powered Ma,FBA79686,B0DV94R4QD,Cancelled,0,,,,,,,,,,BIKANER,RAJASTHAN,334001,IN,,false,,,,false,67147659850242,false
403-1896836-7269144,403-1896836-7269144,2026-08-31T15:33:49+00:00,2026-09-01T05:37:09+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Hot Air Brush For Hair | V-03 3 in 1 Volumizer Hair Blow Dry Brush with 1.5 Inch Barrel, Ceramic Tourmaline Coating, 1200W, Dual Bristle for Ta",FBA79493,B0DQCWRG3H,Shipped,1,INR,1999.0,,40.0,,,,,40.0,PAMARRU,ANDHRA PRADESH,521157,IN,,false,,,,false,67147738945562,false
171-3033554-8039523,171-3033554-8039523,2026-08-31T15:30:35+00:00,2026-09-01T05:12:57+00:00,Shipped,Amazon,Amazon.in,,Expedited,"nexlev Sofa Cleaning Machine | 4-Step Vacuum Cleaner for Sofa and Bed, Allergens & Pet Hair with Double Beat, UV Light, Dehumidification & HEPA Filtra",FBA79263,B0CYSLCRQS,Shipped,1,INR,2998.0,,59.0,,,,,59.0,BHUBANESWAR,ODISHA,751013,IN,,false,,,,false,67147238151242,false
407-1148770-2383557,407-1148770-2383557,2026-08-31T15:25:15+00:00,2026-09-01T17:28:11+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Hot Air Brush For Hair | V-03 3 in 1 Volumizer Hair Blow Dry Brush with 1.5 Inch Barrel, Ceramic Tourmaline Coating, 1200W, Dual Bristle for Ta",FBA79493,B0DQCWRG3H,Shipped,1,INR,1999.0,,40.0,,,,,40.0,HAZARIBAGH,JHARKHAND,825301,IN,,false,,,,false,67147953287802,false
407-1379472-1358738,407-1379472-1358738,2026-08-31T15:06:18+00:00,2026-08-31T17:27:21+00:00,Shipped,Amazon,Amazon.in,,Expedited,Nexlev Steam Iron Handheld For Clothes | Hand Iron Steamer For Clothes 1500W Garment Steamer | 300ML Tank | Vertical & Horizontal Steam Press for Clot,FBA78980,B0CDPMX152,Shipped,1,INR,2199.0,,,,,,43.98,,Mumbai,MAHARASHTRA,400052,IN,PLM-c3d47d60-a6d1-49b0-b32c-8e43d215fc3e,false,,,,false,67147451475522,false
407-3328308-9461166,407-3328308-9461166,2026-08-31T15:04:17+00:00,2026-09-01T04:39:01+00:00,Shipped,Amazon,Amazon.in,,Expedited,nexlev Stick Vacuum Cleaner For House | Vacuum Cleaners 17500PA Suction | 2 in 1 Handheld & Stick Design | Washable HEPA Filter | Bagless Dry Vacuum C,FBA79452,B0DCGHVN81,Shipped,1,INR,2099.0,,40.0,,,,,40.0,HYDERABAD,TELANGANA,502334,IN,,false,,,,false,67146926730242,false
171-7327849-6478750,171-7327849-6478750,2026-08-31T15:01:31+00:00,2026-08-31T19:09:24+00:00,Cancelled,Amazon,Amazon.in,,Expedited,"NexLev Stand Mixer | 2000W Copper Motor Dough Maker Machine with Digital Timer, 6L Stainless Steel Bowl, 6 Speed + Pulse Control, Metal Gears, Planeta",FBA79992,B0GN94YDY2,Cancelled,0,,,,,,,,,,JALANDHAR,PUNJAB,144009,IN,PLM-37515e42-6482-4536-8421-81758a5f3f89,false,,,,false,67146797318162,false
405-1797516-7793951,405-1797516-7793951,2026-08-31T15:00:08+00:00,2026-08-31T20:05:39+00:00,Shipped,Amazon,Amazon.in,,Expedited,NexLev IONIC Volumizer + Straightening Brush| 1200 W| Ceramic Tourmaline Coating| Hot Air Brush| Large Barrel| Ionic Technology| Dual bristles for dry,FBA79492,B0DT6Y7KJM,Shipped,1,INR,1999.0,,,,,,39.98,,Hyderabad,TELANGANA,500009,IN,PLM-c3d47d60-a6d1-49b0-b32c-8e43d215fc3e,false,,,,false,67147079891202,false
407-8756830-1774752,407-8756830-1774752,2026-08-31T14:54:18+00:00,2026-08-31T17:52:02+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink,",FBA78981,B0CDPP45BM,Shipped,1,INR,3998.0,,,,,,79.96,,BENGALURU,KARNATAKA,560027,IN,PLM-c3d47d60-a6d1-49b0-b32c-8e43d215fc3e,false,,,,false,67146789224282,false
403-0385450-7161927,403-0385450-7161927,2026-08-31T14:51:42+00:00,2026-08-31T18:36:18+00:00,Shipped,Amazon,Amazon.in,,Expedited,Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all F,FBA79349,B0D9KDQCCM,Shipped,1,INR,999.0,,,,,,,,FARIDABAD,HARYANA,121010,IN,,false,,,,false,67146473624522,false
403-0031000-7297913,403-0031000-7297913,2026-08-31T14:46:51+00:00,2026-09-06T05:41:37+00:00,Shipped,Amazon,Amazon.in,,Expedited,"nexlev Sofa Cleaning Machine | 4-Step Vacuum Cleaner for Sofa and Bed, Allergens & Pet Hair with Double Beat, UV Light, Dehumidification & HEPA Filtra",FBA79263,B0CYSLCRQS,Shipped,1,INR,2998.0,,,,,,59.96,,LAWNGTLAI,MIZORAM,796810,IN,PLM-c3d47d60-a6d1-49b0-b32c-8e43d215fc3e,false,,,,false,67146611756922,false
408-9761975-2177165,408-9761975-2177165,2026-08-31T14:37:58+00:00,2026-08-31T17:23:04+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink,",FBA78981,B0CDPP45BM,Shipped,1,INR,3998.0,,,,,,,,dharmapuri,tamilnadu,636701,IN,,false,,,,false,67145807607442,false
405-1120572-8161900,405-1120572-8161900,2026-08-31T14:31:41+00:00,2026-08-31T17:42:02+00:00,Shipped,Amazon,Amazon.in,,Expedited,"nexlev Sofa Cleaning Machine | 4-Step Vacuum Cleaner for Sofa and Bed, Allergens & Pet Hair with Double Beat, UV Light, Dehumidification & HEPA Filtra",FBA79263,B0CYSLCRQS,Shipped,1,INR,2998.0,,,,,,59.96,,BENGALURU,KARNATAKA,560041,IN,PLM-c3d47d60-a6d1-49b0-b32c-8e43d215fc3e,false,,,,false,67146315406722,false
405-0375108-3492330,405-0375108-3492330,2026-08-31T14:29:15+00:00,2026-08-31T17:39:01+00:00,Shipped,Amazon,Amazon.in,,Expedited,nexlev Cordless Vacuum Cleaner & Blower |BLDC Copper Motor |HEPA with Stainless Steel Cover | for Home Office & Car Cleaning|4 Attachments | Blower fo,FBA79565,B0DKJZDY72,Shipped,1,INR,1999.0,,,,,,39.98,,PUNE,MAHARASHTRA,411021,IN,PLM-c3d47d60-a6d1-49b0-b32c-8e43d215fc3e,true,,,,false,67145612640002,false
407-6497227-6685962,407-6497227-6685962,2026-08-31T14:27:45+00:00,2026-09-02T07:50:04+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Tyre Inflator Kit for Car | 150 PSI 12V Air Compressor for Car, Bike & Cycle, 120W Tyre Inflator Pump with Digital Display, Auto Shut-Off, LED",FBA79473,B0DJFH6RTL,Shipped,1,INR,1599.0,,40.0,,,,,40.0,TIRUPPUR,TAMIL NADU,638701,IN,,false,,,,false,67146325445722,false
405-2441847-2665943,405-2441847-2665943,2026-08-31T14:23:47+00:00,2026-08-31T16:01:03+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink,",FBA78981,B0CDPP45BM,Shipped,1,INR,3998.0,,,,,,79.96,,MUMBAI,MAHARASHTRA,400005,IN,PLM-c3d47d60-a6d1-49b0-b32c-8e43d215fc3e,false,,,,false,67145766177002,false
408-9439255-8161101,408-9439255-8161101,2026-08-31T14:10:25+00:00,2026-09-01T17:28:24+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 6",FBA79373,B0D2P5TGWK,Shipped,1,INR,299.0,,40.0,,,,,40.0,JAMMU,JAMMU & KASHMIR,180013,IN,,false,,,,false,67144889473002,false
402-3893369-6338714,402-3893369-6338714,2026-08-31T14:05:07+00:00,2026-08-31T20:58:00+00:00,Shipped,Amazon,Amazon.in,,Expedited,"NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink,",FBA78981,B0CDPP45BM,Shipped,1,INR,3998.0,,,,,,,,DHARUHERA,HARYANA,123110,IN,,false,,,,false,67146305251402,false
402-4531150-2197961,402-4531150-2197961,2026-08-31T14:02:18+00:00,2026-08-31T17:12:59+00:00,Shipped,Amazon,Amazon.in,,Expedited,"nexlev Sofa Cleaning Machine | 4-Step Vacuum Cleaner for Sofa and Bed, Allergens & Pet Hair with Double Beat, UV Light, Dehumidification & HEPA Filtra",FBA79263,B0CYSLCRQS,Shipped,1,INR,2998.0,,,,,,,,PUNE,MAHARASHTRA,411046,IN,,false,,,,false,67145682547482,false
402-7819789-8860367,402-7819789-8860367,2026-08-31T13:53:56+00:00,2026-09-01T08:31:08+00:00,Shipped,Amazon,Amazon.in,,Expedited,nexlev Stick Vacuum Cleaner For House | Vacuum Cleaners 17500PA Suction | 2 in 1 Handheld & Stick Design | Washable HEPA Filter | Bagless Dry Vacuum C,FBA79452,B0DCGHVN81,Shipped,1,INR,2099.0,,40.0,,,,,40.0,KANAKAPURA,KARNATAKA,562117,IN,,false,,,,false,67145263144802,false
406-9608151-0332349,406-9608151-0332349,2026-08-31T13:46:45+00:00,2026-09-01T07:21:02+00:00,Shipped,Amazon,Amazon.in,,Expedited,"nexlev Sofa Cleaning Machine | 4-Step Vacuum Cleaner for Sofa and Bed, Allergens & Pet Hair with Double Beat, UV Light, Dehumidification & HEPA Filtra",FBA79263,B0CYSLCRQS,Shipped,1,INR,2998.0,,40.0,,,,,40.0,DEHRADUN,UTTARAKHAND,248005,IN,,false,,,,false,67144768024562,false
