brand,model,sku,asin,category_l0,category_l1,return_units,returns_3p,returns_1p,return_value,sellable_units,unsellable_units,sellable_pct,units_sold_30d,return_pct,top_reason,last_return_at,source_files
Nexlev,VC-02,FBA79463,B0DCK56Q85,Home & Kitchen,Cleaning & Vacumming,9,9,0,11619.0,3,6,33.3,94,9.6,UNDELIVERABLE_REFUSED,2026-09-05T11:55:30+00:00,Nexlev
Nexlev,MR-02,FBA79439,B0DCK7ZH5P,Home & Kitchen,Cleaning & Vacumming,69,69,0,95289.0,47,22,68.1,521,13.2,UNDELIVERABLE_REFUSED,2026-09-07T03:51:42+00:00,Nexlev; viomi
Nexlev,VC-03,FBA79480,B0DDC3GVZW,Home & Kitchen,Cleaning & Vacumming,2,2,0,1606.0,2,0,100.0,27,7.4,QUALITY_UNACCEPTABLE,2026-08-26T11:56:44+00:00,Nexlev; viomi
Nexlev,CM-02-PR,FBA79472,B0DFCDZWND,HPC,Electric Massagers,6,6,0,3360.0,4,2,66.7,73,8.2,UNDELIVERABLE_UNKNOWN,2026-08-11T11:38:19+00:00,Nexlev; viomi
Nexlev,KE-01,FBA79488,B0DFCG2VGS,Home & Kitchen,Kitchen Appliances,6,6,0,5904.0,3,3,50.0,73,8.2,DEFECTIVE,2026-08-10T12:34:56+00:00,Nexlev
Nexlev,KE-02,FBA79489,B0DFD123P5,Home & Kitchen,Kitchen Appliances,2,2,0,1960.0,1,1,50.0,33,6.1,NOT_AS_DESCRIBED,2026-06-24T05:31:15+00:00,viomi
Audio Array,AM-W35,FBA79448,B0DFMKY4TT,Microphone Wireless Handheld,Wireless Microphone,2,1,1,3969.0,1,0,100.0,18,11.1,NEVER_ARRIVED,2026-07-01T06:36:02+00:00,Audio Array; 1P
Audio Array,AM-W32,FBA79445,B0DFMLS8JG,Microphone Wireless Handheld,Wireless Microphone,5,5,0,10837.0,4,1,80.0,64,7.8,NO_REASON_GIVEN,2026-08-05T10:56:00+00:00,Audio Array
Audio Array,AM-W33,FBA79446,B0DFMMTWLY,Microphone Wireless Handheld,Wireless Microphone,6,3,3,7167.0,3,0,100.0,69,8.7,DEFECTIVE,2026-08-22T08:02:20+00:00,Audio Array; 1P
Audio Array,AM-W36,FBA79449,B0DFMNGFTD,Microphone Wireless Handheld,Wireless Microphone,2,1,1,8085.0,1,0,100.0,43,4.7,QUALITY_UNACCEPTABLE,2026-07-30T04:19:58+00:00,Audio Array; 1P
Nexlev,TM-02,FBA79481,B0DFMRG2K4,HPC,Trimmers & Body Groomers,1,1,0,1302.0,1,0,100.0,4,25.0,UNDELIVERABLE_REFUSED,2026-06-19T07:05:52+00:00,Nexlev
Nexlev,MR-01 HEPA Filter,FBA79436,B0DGTGKPJR,Home & Kitchen,HEPA Filter,1,1,0,35.0,1,0,100.0,10,10.0,UNDELIVERABLE_REFUSED,2026-08-23T09:27:07+00:00,Nexlev
Nexlev,TIC-03,FBA79474,B0DJFH4K8B,Home & Kitchen,Car Accessories,3,3,0,2442.0,3,0,100.0,28,10.7,DEFECTIVE,2026-08-07T10:43:54+00:00,Nexlev
Nexlev,TI-02,FBA79473,B0DJFH6RTL,Home & Kitchen,Car Accessories,4,4,0,3460.0,2,2,50.0,50,8.0,UNAUTHORIZED_PURCHASE,2026-08-02T10:01:00+00:00,Nexlev
Nexlev,TIC-04,FBA79475,B0DJFJZMC6,Home & Kitchen,Car Accessories,1,1,0,1392.0,1,0,100.0,1,100.0,UNDELIVERABLE_REFUSED,2026-06-13T07:49:07+00:00,Nexlev
Nexlev,TM-01,FBA79467,B0DK9LYT4P,HPC,Trimmers & Body Groomers,4,4,0,1932.0,2,2,50.0,121,3.3,SWITCHEROO,2026-08-27T09:11:11+00:00,Nexlev
Nexlev,VC-05,FBA79566,B0DKJSCLBD,Home & Kitchen,Cleaning & Vacumming,1,1,0,1063.0,0,1,0.0,69,1.4,SWITCHEROO,2026-06-29T04:38:20+00:00,Nexlev
Nexlev,BR-01,FBA79570,B0DKJXRXKM,HPC,Skin Care,15,15,0,8040.0,8,7,53.3,86,17.4,DEFECTIVE,2026-08-14T08:42:58+00:00,Nexlev; viomi
Nexlev,EA-02,FBA79573,B0DKK15YNJ,HPC,Hair Care,22,22,0,29590.0,19,3,86.4,157,14.0,UNDELIVERABLE_REFUSED,2026-08-20T09:11:48+00:00,Nexlev; viomi
Nexlev,CFM-01,FBA79590,B0DM6BB3VT,HPC,Electric Massagers,34,34,0,34476.0,22,12,64.7,317,10.7,UNDELIVERABLE_REFUSED,2026-08-02T05:11:27+00:00,Nexlev; viomi
Nexlev,MG-01,FBA79596,B0DMT19RWC,HPC,Electric Massagers,1,1,0,926.0,1,0,100.0,12,8.3,QUALITY_UNACCEPTABLE,2026-08-10T12:41:09+00:00,Nexlev
Nexlev,CF-01,FBA79484,B0DNJF1BLS,Home & Kitchen,Kitchen Appliances,1,1,0,716.0,0,1,0.0,6,16.7,DAMAGED_BY_CARRIER,2026-07-27T11:28:39+00:00,Nexlev
Nexlev,SC-04,FBA79567,B0DNJS23HS,Home & Kitchen,Cleaning & Vacumming,193,193,0,520135.0,99,94,51.3,927,20.8,UNDELIVERABLE_REFUSED,2026-09-08T10:26:42+00:00,Nexlev; viomi
