asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_name,buybox_seller_id,offer_count,error,fetched_at
B0FJ2LQT7K,FBA79826,Audio Array,PB-02 (AI-04 Red + AM-C11 + AA-05),9199.0,9199.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0B4G1PXWV,FBA75680,Audio Array,AM-C6,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0BQ7H7418,FBA76597,Audio Array,AA-06,1299.0,1299.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,3.0,,2026-08-03T07:52:36.708085+00:00
B0B4G89VQJ,FBA75686,Audio Array,AM-W10,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0FN7C25VS,FBA79846,Audio Array,AM-C11X Pro,4028.0,3999.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0FVM17Q4W,FBA79909,Audio Array,AM-W20,1999.0,1999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0FLYHJ6DK,FBK79009,Audio Array,AM-C41,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0C4YT43Z3,FBA78204,Audio Array,AM-C31,,,,,,,,2026-08-03T07:52:36.708085+00:00
B0CM9L1QZG,FBA79108,Audio Array,AM-W16,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0FR5DLXH9,FBA79903,Audio Array,AA-25M,899.0,899.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T07:52:36.708085+00:00
B0CH4R1V6S,FBA79016,Audio Array,AM-C3a,806.0,799.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,3.0,,2026-08-03T07:52:36.708085+00:00
B0CF5RRTDJ,FBA78974,Audio Array,AA-20,2015.0,1999.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0CH4T2BJD,FBA79010,Audio Array,AM-C42,2349.0,2349.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T07:52:36.708085+00:00
B0FQJWWDVK,FBA79820,Audio Array,AC-3XL,,,,,,,HTTP 429,2026-08-03T07:52:36.708085+00:00
B0CH4RT4P8,FBA79008,Audio Array,AI-06,3299.0,3299.0,,Other 3P (A3UU1YIVA5VF6D),A3UU1YIVA5VF6D,2.0,,2026-08-03T07:52:36.708085+00:00
B0FJ2J6MTF,FBA79822,Audio Array,KB-01 (AM-W32 + AI-12),4933.0,4899.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T07:52:36.708085+00:00
B0BLKF46QG,FBA76723,Audio Array,AM-C20,,,,,,,,2026-08-03T07:52:36.708085+00:00
