asin,brand,model,sku,account,referral_rs,referral_pct,variable_closing_rs,per_item_rs,fba_fees_rs,total_fees_rs,total_fees_pct,referral_rs_gross,total_fees_rs_gross,gst_rate,price_used_rs,price_source,buybox_price_rs,buybox_seller_id,buybox_belongs_to_us,currency,fetched_at
B0DDC3GVZW,Nexlev,VC-03,FBA79480,NEXLEV,71.51,4.5,0.0,52.0,77.0,200.51,12.62,84.38,236.6,0.18,1589.0,listing,1499.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DFMRG2K4,Nexlev,TM-02,FBA79481,NEXLEV,150.96,9.5,0.0,52.0,59.0,261.96,16.49,178.13,309.11,0.18,1589.0,listing,1589.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DK9NRBWJ,Nexlev,TM-03,FBA79483,NEXLEV,181.17,9.5,0.0,52.0,59.0,292.17,15.32,213.78,344.76,0.18,1907.0,listing,1599.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DNJF1BLS,Nexlev,CF-01,FBA79484,NEXLEV,66.74,4.5,0.0,52.0,148.0,266.74,17.99,78.75,314.75,0.18,1483.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DK9QNKK8,Nexlev,TM-04,FBA79485,NEXLEV,100.61,9.5,0.0,52.0,59.0,211.61,19.98,118.72,249.7,0.18,1059.0,listing,1059.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DFCG2VGS,Nexlev,KE-01,FBA79488,NEXLEV,78.71,4.5,0.0,52.0,148.0,278.71,15.94,92.88,328.88,0.18,1749.0,listing,1749.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DFD123P5,Nexlev,KE-02,FBA79489,NEXLEV,90.59,4.5,0.0,52.0,148.0,290.59,14.44,106.9,342.9,0.18,2013.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DT6Y7KJM,Nexlev,V-02,FBA79492,NEXLEV,201.31,9.5,0.0,52.0,77.0,330.31,15.59,237.55,389.77,0.18,2119.0,listing,2119.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DQCWRG3H,Nexlev,V-03,FBA79493,NEXLEV,202.26,9.5,0.0,52.0,77.0,331.26,15.56,238.67,390.89,0.18,2129.0,listing,2049.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DKJZDY72,Nexlev,VC-04,FBA79565,NEXLEV,158.93,7.5,0.0,52.0,77.0,287.93,13.59,187.54,339.76,0.18,2119.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DKJSCLBD,Nexlev,VC-05,FBA79566,NEXLEV,178.8,7.5,0.0,52.0,115.0,345.8,14.51,210.98,408.04,0.18,2384.0,listing,2299.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DNJS23HS,Nexlev,SC-04,FBA79567,NEXLEV,500.24,8.0,0.0,52.0,228.15,780.39,12.48,590.28,920.86,0.18,6253.0,listing,5999.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DKJXRXKM,Nexlev,BR-01,FBA79570,NEXLEV,120.19,7.0,0.0,52.0,59.0,231.19,13.46,141.82,272.8,0.18,1717.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DKK12XWR,Nexlev,IPL-01,FBA79571,NEXLEV,302.01,9.5,0.0,52.0,77.0,431.01,13.56,356.37,508.59,0.18,3179.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DKJVWM8Q,Nexlev,LE-07,FBA79572,NEXLEV,152.55,9.0,0.0,52.0,110.0,314.55,18.56,180.01,371.17,0.18,1695.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DKK15YNJ,Nexlev,EA-02,FBA79573,NEXLEV,197.1,7.5,0.0,52.0,77.0,326.1,12.41,232.58,384.8,0.18,2628.0,listing,2496.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DHRQPGGM,Nexlev,EA-01 Pro,FBA79588,NEXLEV,115.43,7.5,0.0,52.0,59.0,226.43,14.71,136.21,267.19,0.18,1539.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DNJP9T35,Nexlev,SS-02,FBA79589,NEXLEV,190.7,10.0,0.0,52.0,115.0,357.7,18.76,225.03,422.09,0.18,1907.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0GLHC8CB3,Nexlev,SS-02,FBK80024,NEXLEV,178.0,10.0,0.0,52.0,115.0,345.0,19.38,210.04,407.1,0.18,1780.0,listing,1699.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DM6BB3VT,Nexlev,CFM-01,FBA79590,NEXLEV,220.2,7.5,0.0,52.0,115.0,387.2,13.19,259.84,456.9,0.18,2936.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DM66B2DW,Nexlev,KM-01,FBA79591,NEXLEV,115.2,7.5,0.0,52.0,115.0,282.2,18.37,135.94,333.0,0.18,1536.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0F29SZCVF,Nexlev,KM-01,FBK79591,NEXLEV,192.0,12.5,0.0,52.0,77.0,321.0,20.9,226.56,378.78,0.18,1536.0,listing,1536.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DMSMKRD9,Nexlev,FM-01,FBA79592,NEXLEV,286.13,7.5,0.0,52.0,209.0,547.13,14.34,337.63,645.61,0.18,3815.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DMSSLXST,Nexlev,FM-02,FBA79593,NEXLEV,129.98,7.5,0.0,52.0,148.0,329.98,19.04,153.38,389.38,0.18,1733.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DM6MG4ZH,Nexlev,EM-01,FBA79594,NEXLEV,399.48,14.5,0.0,52.0,59.0,510.48,18.53,471.39,602.37,0.18,2755.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DMSHZXG2,Nexlev,EM-02,FBA79595,NEXLEV,141.45,7.5,0.0,52.0,59.0,252.45,13.39,166.91,297.89,0.18,1886.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DMT19RWC,Nexlev,MG-01,FBA79596,NEXLEV,268.83,14.5,0.0,52.0,115.0,435.83,23.51,317.22,514.28,0.18,1854.0,listing,1799.0,AVYXL4PPA4XRV,True,INR,2026-07-16T11:04:23+00:00
B0DNJHKZ2G,Nexlev,BM-01,FBA79597,NEXLEV,127.13,7.5,0.0,52.0,148.0,327.13,19.3,150.01,386.01,0.18,1695.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DNJJKBKG,Nexlev,BM-02,FBK79598,NEXLEV,139.43,7.5,0.0,52.0,148.0,339.43,18.26,164.53,400.53,0.18,1859.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
B0DRD8J8R5,Nexlev,VC-06,FBA79599,NEXLEV,143.03,7.5,0.0,52.0,214.0,409.03,21.45,168.78,482.66,0.18,1907.0,listing,,,False,INR,2026-07-16T11:04:23+00:00
