week,Model,inventory_ampm,inventory_1p,inventory_amazon,inventory_total_amazon,pipeline_orders,inv_units_model
13,AX4186,0.0,0.0,14.0,14.0,0.0,14.0
13,AX4199,0.0,0.0,4.0,4.0,0.0,4.0
13,AX4405,0.0,0.0,18.0,18.0,0.0,18.0
13,AX4406,0.0,0.0,21.0,21.0,0.0,21.0
13,AX4407,0.0,0.0,21.0,21.0,0.0,21.0
13,AX4408,0.0,0.0,27.0,27.0,0.0,27.0
13,AX4621,0.0,0.0,3.0,3.0,0.0,3.0
13,AX4625,0.0,0.0,7.0,7.0,0.0,7.0
13,AX5176,0.0,0.0,7.0,7.0,0.0,7.0
13,AX5724,0.0,0.0,9.0,9.0,0.0,9.0
13,AX5725,0.0,0.0,7.0,7.0,0.0,7.0
13,AX5730,0.0,0.0,4.0,4.0,0.0,4.0
13,AX5732,0.0,0.0,2.0,2.0,0.0,2.0
13,AX5734,0.0,0.0,1.0,1.0,0.0,1.0
13,AX5735,0.0,0.0,1.0,1.0,0.0,1.0
13,AX5901,0.0,0.0,22.0,22.0,0.0,22.0
13,AX5911,0.0,0.0,14.0,14.0,0.0,14.0
13,AX5916,0.0,0.0,1.0,1.0,0.0,1.0
13,AX7151SET,0.0,0.0,7.0,7.0,0.0,7.0
13,AX7161SET,0.0,0.0,1.0,1.0,0.0,1.0
13,AX7163SET,0.0,0.0,9.0,9.0,0.0,9.0
13,AX7165SET,0.0,0.0,4.0,4.0,0.0,4.0
13,AX7167SET,0.0,0.0,2.0,2.0,0.0,2.0
13,AX7175SET,0.0,0.0,6.0,6.0,0.0,6.0
13,AX7176SET,0.0,0.0,8.0,8.0,0.0,8.0
13,BE-4,0.0,0.0,0.0,0.0,600.0,0.0
13,BM-01,0.0,0.0,0.0,0.0,0.0,0.0
13,BM-02,217.0,0.0,18.0,235.0,0.0,235.0
13,BM-03,1.0,0.0,0.0,1.0,0.0,1.0
13,BM320,0.0,0.0,0.0,0.0,0.0,0.0
13,BQ3181,0.0,0.0,1.0,1.0,0.0,1.0
13,BR-01,23.0,0.0,225.0,248.0,0.0,248.0
13,CAP-05,0.0,0.0,0.0,0.0,500.0,0.0
13,CF-01,33.0,0.0,1.0,34.0,0.0,34.0
13,CFM-01,456.0,0.0,160.0,616.0,0.0,616.0
13,CFM-02,8.0,0.0,10.0,18.0,0.0,18.0
13,CFM-03,220.0,0.0,45.0,265.0,0.0,265.0
13,CH2882,0.0,0.0,2.0,2.0,0.0,2.0
13,CH2885,0.0,0.0,62.0,62.0,0.0,62.0
13,CM-01-BL,35.0,0.0,55.0,90.0,0.0,90.0
13,CM-02-PR,1419.0,1.0,108.0,1528.0,0.0,1528.0
13,CR-01,308.0,5.0,88.0,401.0,0.0,401.0
13,D2,0.0,0.0,0.0,0.0,0.0,0.0
13,D5,2.0,0.0,0.0,2.0,0.0,2.0
