week,brand,model,sku,asin,channel,type,category_l0,category_l1,category_l2,inventory_units,inventory_value,nlc
Week 10,Nexlev,HM-01,FBA79332,B0D63FKYZ5,Amazon,Marketplace,HPC,Hair Care,Head Massager,52.0,25480.0,490.0
Week 10,Nexlev,HM-01,FBA79332,B0D63FKYZ5,B2B - AMPM,Warehouse,HPC,Hair Care,Head Massager,200.0,98000.0,490.0
Week 10,Nexlev,HM-01,FBA79332,B0D63FKYZ5,Blinkit,Marketplace,HPC,Hair Care,Head Massager,54.0,26460.0,490.0
Week 10,Nexlev,HM-01,FBA79332,B0D63FKYZ5,YNT,Dispatch Partner,HPC,Hair Care,Head Massager,18.0,8820.0,490.0
Week 10,Nexlev,HM-02,FBA79333,B0D63DTKQB,1p,1P,HPC,Hair Care,Head Massager,0.0,0.0,714.0
Week 10,Nexlev,HM-02,FBA79333,B0D63DTKQB,AMPM,Warehouse,HPC,Hair Care,Head Massager,0.0,0.0,714.0
Week 10,Nexlev,HM-02,FBA79333,B0D63DTKQB,Amazon,Marketplace,HPC,Hair Care,Head Massager,0.0,0.0,714.0
Week 10,Nexlev,HM-02,FBA79333,B0D63DTKQB,B2B - AMPM,Warehouse,HPC,Hair Care,Head Massager,19.0,13566.0,714.0
Week 10,Nexlev,HM-02,FBA79333,B0D63DTKQB,Blinkit,Marketplace,HPC,Hair Care,Head Massager,19.0,13566.0,714.0
Week 10,Nexlev,HM-02,FBA79333,B0D63DTKQB,YNT,Dispatch Partner,HPC,Hair Care,Head Massager,116.0,82824.0,714.0
Week 10,Nexlev,HS-01,FBA79272,B0D2LFMY48,1p,1P,HPC,Hair Care,Hair Straightener,0.0,0.0,378.0
Week 10,Nexlev,HS-01,FBA79272,B0D2LFMY48,AMPM,Warehouse,HPC,Hair Care,Hair Straightener,364.0,137592.0,378.0
Week 10,Nexlev,HS-01,FBA79272,B0D2LFMY48,Amazon,Marketplace,HPC,Hair Care,Hair Straightener,41.0,15498.0,378.0
Week 10,Nexlev,HS-01,FBA79272,B0D2LFMY48,B2B - AMPM,Warehouse,HPC,Hair Care,Hair Straightener,50.0,18900.0,378.0
Week 10,Nexlev,HS-01,FBA79272,B0D2LFMY48,YNT,Dispatch Partner,HPC,Hair Care,Hair Straightener,68.0,25704.0,378.0
Week 10,Nexlev,HS-02,FBA79273,B0D2LKB4BJ,AMPM,Warehouse,HPC,Hair Care,Hair Straightener,37.0,14393.0,389.0
Week 10,Nexlev,HS-02,FBA79273,B0D2LKB4BJ,Amazon,Marketplace,HPC,Hair Care,Hair Straightener,36.0,14004.0,389.0
Week 10,Nexlev,HS-02,FBA79273,B0D2LKB4BJ,B2B - AMPM,Warehouse,HPC,Hair Care,Hair Straightener,24.0,9336.0,389.0
Week 10,Nexlev,HS-02,FBA79273,B0D2LKB4BJ,YNT,Dispatch Partner,HPC,Hair Care,Hair Straightener,15.0,5835.0,389.0
Week 10,Nexlev,HSB-03,FBA79405,B0D9KFP4MG,1p,1P,HPC,Hair Care,Hair Straightener Brush - Corded,0.0,0.0,868.0
Week 10,Nexlev,HSB-03,FBA79405,B0D9KFP4MG,AMPM,Warehouse,HPC,Hair Care,Hair Straightener Brush - Corded,1597.0,1386196.0,868.0
