asin,sku,brand,model,buybox_price,amazon_1p_price,merchant_low_price,buybox_seller_name,buybox_seller_id,offer_count,error,fetched_at
B0F678L8YT,FBA79771,Nexlev,SC-01 Set of Spares,599.0,599.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0F67BSF2R,FBA79772,Nexlev,SC-02 Set of Spares,,,,,,,HTTP 429,2026-08-03T10:44:11.848967+00:00
B0F74DJYG6,FBA79773,Nexlev,VC-01 HEPA,248.0,248.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0F678RRCX,FBA79774,Nexlev,VC-02 HEPA,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0F67775SH,FBA79775,Nexlev,VC-03 HEPA,249.0,249.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0F679QJH4,FBA79776,Nexlev,VC-04 HEPA,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0F6795PDP,FBA79777,Nexlev,AP-01 HEPA,3599.0,3599.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0F67BW7SF,FBA79778,Nexlev,AP-03 HEPA,1099.0,1099.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0FYNKYJFN,FBA79912,Nexlev,SC-05 SC-05 - Set of Spares,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0FYNLPK1B,FBA79913,Nexlev,"VC-05 VC-05 -Set of Spares(Crevice, Brush & Hose)",399.0,399.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,1.0,,2026-08-03T10:44:11.848967+00:00
B0FYNR2XCB,FBA79914,Nexlev,ST-01 ST-01 Bowl,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0FYNT1TW7,FBA79915,Nexlev,ST-01 ST-01 Set of Hooks,,,,,,,,2026-08-03T10:44:11.848967+00:00
B0GN85NZQN,FBM79991,Nexlev,DH-01,5699.0,5699.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0GN85NZQN,FBA79991,Nexlev,DH-01,5699.0,5699.0,,Other 3P (AVYXL4PPA4XRV),AVYXL4PPA4XRV,2.0,,2026-08-03T10:44:11.848967+00:00
B0BPLZ5CGV,FBA76864,Audio Array,AI-04 Red,4833.0,4799.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T10:44:11.848967+00:00
B0B4DPX2J2,FBA75673,Audio Array,AM-C1,2698.0,2698.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T10:44:11.848967+00:00
B0DXFPM4N2,FBA79482,Audio Array,AM-S1,9052.0,8999.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T10:44:11.848967+00:00
B0D3M1B4Z8,FBA79380,Audio Array,AM-C46,3510.0,3490.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,3.0,,2026-08-03T10:44:11.848967+00:00
B0CKHVHVQ1,FBA79005,Audio Array,AM-W45,,,,,,,HTTP 429,2026-08-03T10:44:11.848967+00:00
B0FG88HVQ8,FBA79813,Audio Array,AH-50,1999.0,1999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T10:44:11.848967+00:00
B0FPR962YS,FBA79816,Audio Array,AM-W22,3299.0,3299.0,,Other 3P (A15YBOSC0EMOS0),A15YBOSC0EMOS0,2.0,,2026-08-03T10:44:11.848967+00:00
B0GKPXQ8G3,FBA80016,Audio Array,AM-W22,3399.0,3399.0,3399.0,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,1.0,,2026-08-03T10:44:11.848967+00:00
B0DFMNGFTD,FBA79449,Audio Array,AM-W36,6299.0,6299.0,,Other 3P (A3UU1YIVA5VF6D),A3UU1YIVA5VF6D,3.0,,2026-08-03T10:44:11.848967+00:00
B0CM6NTWBP,FBA79103,Audio Array,AI-10,3099.0,3099.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,2.0,,2026-08-03T10:44:11.848967+00:00
B0CM9HYVDM,FBA79109,Audio Array,AM-W18,1199.0,1189.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T10:44:11.848967+00:00
B0B4G19R58,FBA75674,Audio Array,AM-C2,3827.0,3799.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T10:44:11.848967+00:00
B0CH4RNWJX,FBA79011,Audio Array,AM-C43,2516.0,2499.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T10:44:11.848967+00:00
B0CF5TCQKL,FBA78975,Audio Array,AA-21,,,,,,,HTTP 429,2026-08-03T10:44:11.848967+00:00
B0DFMMTWLY,FBA79446,Audio Array,AM-W33,1999.0,1999.0,,Other 3P (A28KGDTB760OU9),A28KGDTB760OU9,3.0,,2026-08-03T10:44:11.848967+00:00
B0CM6NVLT9,FBA79104,Audio Array,AI-11,1612.0,1599.0,,Other 3P (A1WYWER0W24N8S),A1WYWER0W24N8S,2.0,,2026-08-03T10:44:11.848967+00:00
