asin,sku,brand,model,price_audioarray,price_nexlev,price_viomi,price_whitemulberry,amazon_1p_price,buybox_price,buybox_seller_id,buybox_belongs_to_us,currency,fetched_at
B0CBCB82MT,FBA78960,Audio Array,AM-C39,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CM9P5CCK,FBA79107,Audio Array,AM-W17,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FN7DYB2M,FBA79844,Audio Array,PB-08 (AM-C1 + AI-04),,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0F2HYY7JF,FBA79722,Audio Array,AM-W21,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FJ2LQT7K,FBA79826,Audio Array,PB-02 (AI-04 Red + AM-C11 + AA-05),,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4G1PXWV,FBA75680,Audio Array,AM-C6,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0BQ7H7418,FBA76597,Audio Array,AA-06,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4G89VQJ,FBA75686,Audio Array,AM-W10,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FN7C25VS,FBA79846,Audio Array,AM-C11X Pro,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FVM17Q4W,FBA79909,Audio Array,AM-W20,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FLYHJ6DK,FBK79009,Audio Array,AM-C41,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0C4YT43Z3,FBA78204,Audio Array,AM-C31,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CM9L1QZG,FBA79108,Audio Array,AM-W16,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FR5DLXH9,FBA79903,Audio Array,AA-25M,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CH4R1V6S,FBA79016,Audio Array,AM-C3a,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CF5RRTDJ,FBA78974,Audio Array,AA-20,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CH4T2BJD,FBA79010,Audio Array,AM-C42,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FQJWWDVK,FBA79820,Audio Array,AC-3XL,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CH4RT4P8,FBA79008,Audio Array,AI-06,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FJ2J6MTF,FBA79822,Audio Array,KB-01 (AM-W32 + AI-12),,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0BLKF46QG,FBA76723,Audio Array,AM-C20,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4G8PH2P,FBA75678,Audio Array,AA-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0BLNCP74M,FBA76728,Audio Array,AM-C25,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FJ2DT13L,FBA79825,Audio Array,GB-02 (AM-C43 + AI-11),,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FJ8TSQK1,FBA79830,Audio Array,GB-03 (AI-12 + AM-C43),,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0B4DS678Q,FBA75676,Audio Array,AM-C4,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0CJR76Y7G,FBA79064,Audio Array,AA-25,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
B0FJS7JZ4V,FBK79708,Audio Array,SB-01,,,,,,,,False,INR,2026-08-10T05:33:59+00:00
