week,brand,model,sessions,units,gmv,buybox_pct,conversion_pct
5,white mulberry,MS1ML,1313,1.0,1770.3389830508474,0.0365,0.0008
5,white mulberry,MS2ML,17,1.0,2334.7457627118647,1.0,0.0588
5,white mulberry,NAN,206,16.0,10792.372881355932,1.0,0.0777
5,white mulberry,POS2M,38,0.0,0.0,0.5355,0.0
5,white mulberry,POSS-01,48,2.0,3489.8305084745766,1.0,0.0417
5,white mulberry,TVCF1ML,421,11.0,7914.406779661017,1.0,0.0261
5,white mulberry,TVCT1ML,821,51.0,25006.77966101695,0.9982,0.0621
5,white mulberry,TVFM1ML,578,5.0,9741.525423728814,1.0,0.0087
5,white mulberry,TVMF1ML,190,9.0,5712.71186440678,1.0,0.0474
5,white mulberry,VLMS1ML,480,10.0,25144.067796610172,1.0,0.0208
5,white mulberry,WM-GD07-CB,23182,75.0,463141.56779661024,0.4995,0.0032
5,white mulberry,WM-GS1M-BK,1349,0.0,0.0,0.0176,0.0
5,white mulberry,WM-HA1M-BK,447,9.0,13332.203389830509,0.8698,0.0201
5,white mulberry,WM-LOD-BK,518,6.0,42706.77966101695,0.9086,0.0116
5,white mulberry,WM-LOD-CF,1692,9.0,64060.16949152543,0.7463,0.0053
5,white mulberry,WM-LOD-IN,775,8.0,49824.576271186445,0.4768,0.0103
5,white mulberry,WM-LOD-WH,934,3.0,14235.593220338984,0.469,0.0032
5,white mulberry,WM-LODN-WH,149,0.0,0.0,0.3269,0.0
5,white mulberry,WM-MDL-BK,258,0.0,0.0,0.7923,0.0
5,white mulberry,WM-MDL-WH,268,3.0,38138.135593220344,0.8353,0.0112
5,white mulberry,WM-MH05P-BK,156,0.0,0.0,0.3434,0.0
5,white mulberry,WM-MH05P-CF,2,0.0,0.0,1.0,0.0
5,white mulberry,WM-MH05P-WH,89,0.0,0.0,0.2857,0.0
5,white mulberry,WM-MODL-BBW,28,0.0,0.0,0.6923,0.0
5,white mulberry,WM-MODL-BK,75,1.0,13558.474576271186,0.325,0.0133
5,white mulberry,WM-MODL-WH,245,3.0,40675.42372881356,0.7868,0.0122
5,white mulberry,WM-SE08-BK,213,0.0,0.0,0.3227,0.0
5,white mulberry,WM-SE08-CF,353,1.0,13558.474576271186,0.8756,0.0028
5,white mulberry,WM-SE08-WH,136,1.0,13388.983050847459,0.8366,0.0074
5,white mulberry,WM-SEH04P-CF,7,0.0,0.0,1.0,0.0
5,white mulberry,WM-USE06-BK,9,1.0,19490.677966101695,0.5333,0.1111
5,white mulberry,WM-USE06-WH,0,0.0,0.0,0.0,0.0
5,white mulberry,WM1ML,613,12.0,30955.93220338983,0.9718,0.0196
