asin,sku,am_soh,am_intransit
B0DFMLQBMC,FBA79444,9,0
B0F2N31GNX,FBA79657,9,0
B0F2HYY7JF,FBA79722,8,0
B0GW96CQMG,FBA80005,5,3
B089SJGQBH,FBA77104,4,4
B0GW92TVVC,FBA79999,5,3
B0FJ2K95XT,FBA79824,8,0
B0BLKBJ5HN,FBA76742,8,0
B0DP313R77,FBA79614,4,4
B0D3LZWTHV,FBA79379,8,0
B0DVCBR11D,FBA79677,7,0
B0GN8MPYPG,FBA79982,7,0
B0DFCDKMWR,FBA79464,7,0
B0GD8JSPB1,FBA79974,7,0
B0B4KC7VBM,FBA75677,7,0
B07WLWN2ZT,FBA77101,6,0
B0B4G1PXWV,FBA75680,6,0
B0B4G8ZB64,FBA75675,6,0
B0FJ8T4WXM,FBA79834,6,0
B0CCVBQRFX,FBA79582,3,3
B0CQX9ZZMH,FBA79229,6,0
B0B4WTHLX5,FBA79574,6,0
B0BLKCWZQD,FBA76720,6,0
B0FJ8S53GW,FBA79832,6,0
B0FYNLPK1B,FBA79913,5,0
B0GW8YC59C,FBA79998,3,2
B0DFMNGFTD,FBA79449,5,0
B0GW92TQGV,FBA80001,3,2
B0C539RBGL,FBA78205,5,0
B0FQJWWDVK,FBA79820,5,0
B0FJ2DT13L,FBA79825,5,0
B0GXP7LJ75,FBA79975,3,2
B0GW9461N5,FBA79997,3,2
B0CM6NVLT9,FBA79104,5,0
B0BLKB6FRR,FBA76730,5,0
B0GW8XGPB2,FBA80000,3,2
B0F2N11VTN,FBA79607,5,0
B0FJ2JJZL3,FBA79821,4,0
B0DVCDD5VC,FBA79678,4,0
B0CC3BJKGN,FBA79065,4,0
B0FTVVLNS9,FBA79906,4,0
B0FN81FD8M,FBK79793,4,0
B0FJ8TSQK1,FBA79830,4,0
B0FN7B3KWS,FBA79845,4,0
B0G3B677Z5,FBA79969,4,0
B0DJFH4K8B,FBA79474,4,0
B0F2N37819,FBA79606,4,0
B0BRCR2QQ7,FBA79576,3,0
B08SJD466P,FBK74287,3,0
B0FYNKYJFN,FBA79912,3,0
B0F146Y33S,FBA79818,3,0
B0FTVSH458,FBA79905,3,0
B01MF9VM2N,FBA73742,2,0
B0FH43K6NT,FBA79853,2,0
B0CYSMBCB8,FBA79262,2,0
B078JQ33SM,FBA79712,2,0
B0CC39ZJQP,FBA79066,2,0
B0DVC91Q7J,FBA79693,2,0
B0DV931G48,FBA79690,2,0
B0CX1XK5R6,FBA79230,2,0
