asin,sku,brand,model,seller_rank,seller_id,seller_name,is_buybox_winner,price,landed_price,shipping,is_fba,is_prime,feedback_rating,fetched_at
B0DQCWRG3H,FBA79493,Nexlev,V-03,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,2049.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DKJZDY72,FBA79565,Nexlev,VC-04,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1499.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DKJSCLBD,FBA79566,Nexlev,VC-05,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,2384.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DKJSCLBD,FBA79566,Nexlev,VC-05,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,2391.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DNJS23HS,FBA79567,Nexlev,SC-04,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,5999.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DNJS23HS,FBA79567,Nexlev,SC-04,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,6239.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DKJXRXKM,FBA79570,Nexlev,BR-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1717.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DKK15YNJ,FBA79573,Nexlev,EA-02,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,2499.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0GLHC8CB3,FBK80024,Nexlev,SS-02,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1699.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0GLHC8CB3,FBK80024,Nexlev,SS-02,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,1799.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0F29SZCVF,FBK79591,Nexlev,KM-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1536.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DMT19RWC,FBA79596,Nexlev,MG-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1854.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0F43P6D23,FBA79652,Nexlev,SC-05,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,3499.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0F43P6D23,FBA79652,Nexlev,SC-05,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,3699.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0FJG5PFGQ,FBA79673,Nexlev,ETC-07-WH,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,794.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0FJG5PFGQ,FBA79673,Nexlev,ETC-07-WH,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,831.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DVCBR11D,FBA79677,Nexlev,NP-06,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1059.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DVCDD5VC,FBA79678,Nexlev,NP-07,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1059.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DVC7VJP1,FBA79679,Nexlev,ST-01,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,6399.0,,0.0,True,False,88.0,2026-08-03T10:44:11.848967+00:00
B0DVC8NYY2,FBA79682,Nexlev,HU-02,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1899.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DVC8NYY2,FBA79682,Nexlev,HU-02,2,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),False,1975.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DVC9PRSD,FBA79683,Nexlev,AP-01,1,A15YBOSC0EMOS0,Other 3P (A15YBOSC0EMOS0),True,17679.0,,0.0,True,True,97.0,2026-08-03T10:44:11.848967+00:00
B0DV94R4QD,FBA79686,Nexlev,MGS-02,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,953.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DV9CY3XR,FBA79687,Nexlev,MGC-03,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,2013.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DV931G48,FBA79690,Nexlev,PM-02,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,1767.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
B0DVC58QPZ,FBA79692,Nexlev,AP-03,1,AVYXL4PPA4XRV,Other 3P (AVYXL4PPA4XRV),True,4499.0,,0.0,True,True,88.0,2026-08-03T10:44:11.848967+00:00
