Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Total Order Items
MC-01,B0FSF1N457,B0FSF1N457,NeLev Mini Electric Chopper | 3D Stainless Steel Blade | Food Grade Bowl | for Mincing Garlic Ginger Onion Vegetable Meat Nuts | 250 ml | One Touch Operation | MC-01,452,10,0.29%,0.45%,619,10,0.32%,0.34%,91.74%,62.50%,5,0,1.11%,0.00%,"₹ 2,645.00",5
ST-01 ST-01 Set of Hooks,B0FYNT1TW7,B0FYNT1TW7,"NexLev Stand Mixer Attachment Set for ST-01 | Includes Dough Hook, Beater & Whisk | Durable Stainless Steel Build | Easy to Attach & Clean | Ideal for Baking, Whipping & Kneading",239,8,0.15%,0.36%,280,10,0.14%,0.34%,99.24%,100.00%,4,0,1.67%,0.00%,"₹ 4,500.00",4
GS-04,B0CQX9ZZMH,B0CQX9ZZMH,NexLev Handheld Garment Steamer |1800 Watts | 25 g/min | 300 ML | Vertical & Horizontal Ironing for Silk Velvet & | Damage Free Steam for all Cloth Types | 25sec quick heat | 3 Brushes | GS-04,57,3,0.04%,0.13%,67,3,0.03%,0.10%,96.72%,100.00%,3,0,5.26%,0.00%,"₹ 6,267.00",3
ET-03-BL_N,B0D2P6KF4N,B0D2P6KF4N,Nexlev Sonic Electric Toothbrush| Powerful Sonic technology|Super soft DuPont Bristles| 2 Replaceable Brush Heads with Cover| IPX7 Waterproof| AA Battery|Gentle Oral Care|Smart Smile ET-03 SkyBlue,36,2,0.02%,0.09%,55,9,0.03%,0.31%,100.00%,100.00%,3,1,8.33%,50.00%,₹ 897.00,3
V-01,B0D83Q7L8W,B0D83Q7L8W,"NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tangle Free Bristle |3 Speed & 2 Heat Settings | V-01",216,2,0.14%,0.09%,327,2,0.17%,0.07%,32.62%,0.00%,3,0,1.39%,0.00%,"₹ 3,767.00",3
VC-05,B0DKJSCLBD,B0DKJSCLBD,"NexLev Cordless Wet & Dry Vacuum Cleaner|For Home Car & Office Use|3 Attachments |HEPA to capture dust | 4000 mAh Battery|Quick Cleaning of Desk, Coffee tea or Water Spill | Compact & Portable | VC-05",335,4,0.22%,0.18%,432,5,0.22%,0.17%,97.50%,100.00%,3,0,0.90%,0.00%,"₹ 6,597.00",3
SC-01 Set of Spares,B0F678L8YT,B0F678L8YT,"NexLev Replacement Accessory Kit for Steam Cleaner SC-01 | Multipurpose Cleaning Attachments for Home, Kitchen, Bathroom & Car",200,6,0.13%,0.27%,217,8,0.11%,0.27%,99.02%,100.00%,3,1,1.50%,16.67%,"₹ 1,197.00",3
LE-01,B0G1YFR7VH,B0G1YFR7VH,"Nexlev Facial Device | Red & Blue Light Therapy| EMS Microcurrents| 4 modes| 5 Min Timer| Face Cleanser| Under eye care| Skin Tightening & lifting, wrinkle remover | USB Rechargeable| Elixir LE-01",92,1,0.06%,0.04%,115,1,0.06%,0.03%,95.10%,0.00%,3,0,3.26%,0.00%,"₹ 1,497.00",3
HM-01,B0D63FKYZ5,B0D63FKYZ5,NexLev Scalp Massager for Stress Relief | Head Massager for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Massage | 120 Min Runtime | Type C | Washable Heads | 3 Modes | HM-01,86,2,0.06%,0.09%,103,2,0.05%,0.07%,10.87%,50.00%,2,0,2.33%,0.00%,"₹ 2,142.00",2
LR-01,B0D8445KJN,B0D8445KJN,"NexLev Lint Remover | For Woolen Sweaters Shirts Socks Jackets Suede Leggings | Pill, Rue & Burr Remover | 30 Min Use |Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",226,6,0.15%,0.27%,268,8,0.14%,0.27%,98.82%,100.00%,2,0,0.88%,0.00%,"₹ 1,714.00",2
ETR-06,B0D9KCNVNM,B0D9KCNVNM,Nexlev Oscillating Electric Toothbrush | 8000 vibrations/min | USB Type C Charging|3 modes| 2 Minute Timer |Quad Change Reminder| IPX7 Waterproof | For adults| 1 year warranty| |Sparkle Pro (ETR-06),104,3,0.07%,0.13%,148,4,0.08%,0.14%,49.25%,0.00%,2,0,1.92%,0.00%,"₹ 2,298.00",2
CM-02-PR,B0DFCDZWND,B0DFCDZWND,NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable | Gift for Women| Strap upto 40 Inch |Purple CM-02,163,3,0.10%,0.13%,206,6,0.11%,0.20%,36.73%,80.00%,2,0,1.23%,0.00%,"₹ 2,498.00",2
SS-01(New),B0DTK4FY1G,B0DTK4FY1G,"NexLev Spin Scrubber with Soap Spray | 6 heads| For Kitchen, Tub, Glass, Complete cleaning tool for Home, Office & Car| 90 min runtime | 4500 mAh | Cordless Type C | Adjustable Handle|SS-01, White",291,2,0.19%,0.09%,374,4,0.19%,0.14%,92.47%,100.00%,2,0,0.69%,0.00%,"₹ 4,998.00",2
ST-01,B0DVC7VJP1,B0DVC7VJP1,"NexLev Stand Mixer |5.5L SS Bowl | 1500W |10 Speeds | Pulse Function |Planetary Rotation | Whisk, Beater & Dough Hook|100% Copper Motor | For Roti & Cookie Dough, Cake Making, Whip Cream & more |ST-01","1,842",20,1.19%,0.89%,"2,513",28,1.28%,0.95%,28.78%,46.67%,2,0,0.11%,0.00%,"₹ 11,798.00",2
BM-02,B0FM3KVSHW,B0FM3KVSHW,NexLev Neck & Back Massager | Deep Tissue Shiatsu Roller | Cervical Pain Relief | 3 Speeds | 8 Kneading Nodes | Quick Pain Relief | Auto Shut Off | 1 year Warranty | BM-02,5,2,0.00%,0.09%,5,2,0.00%,0.07%,100.00%,100.00%,2,1,40.00%,50.00%,"₹ 1,859.00",2
NP-01,B0CDQ98FDM,B0CDQ98FDM,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-01",23,2,0.01%,0.09%,28,5,0.01%,0.17%,96.30%,0.00%,1,0,4.35%,0.00%,₹ 549.00,1
T-01,B0D2LGR3GG,B0D2LGR3GG,"NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Safety Guards| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime | Type C | T-01",125,1,0.08%,0.04%,172,1,0.09%,0.03%,1.97%,0.00%,1,0,0.80%,0.00%,₹ 987.00,1
CR-01,B0D2LHNS9B,B0D2LHNS9B,"NexLev Foot Callus Remover | Electric Scrubber & Shaver for Dead, Hard & Cracked Skin | Professional Pedicure at Home | Waterproof | Type C | 3 Crystal Quartz Heads | For Men and Women| CR-01",129,0,0.08%,0.00%,181,0,0.09%,0.00%,6.41%,0.00%,1,0,0.78%,0.00%,₹ 689.00,1
HM-02,B0D63DTKQB,B0D63DTKQB,NexLev 2 in 1 Scalp Massager & red Light Therapy |LED Massage Comb for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Head Massage | 120 Min Runtime | Type C | Washable Heads | HM-02,373,8,0.24%,0.36%,507,11,0.26%,0.37%,5.25%,0.00%,1,0,0.27%,0.00%,"₹ 1,599.00",1
TIC-03,B0DJFH4K8B,B0DJFH4K8B,NexLev Cordless Tyre Inflator for Cars & Bikes|150 PSI| 2x2000 mAh Powerbank| Type-C Port| 5 Pre Set Mode|Auto Shut-Off |Digital Display| LED Light | Multiple Nozzles| AER Pro TIC-03,86,1,0.06%,0.04%,111,1,0.06%,0.03%,82.47%,0.00%,1,0,1.16%,0.00%,"₹ 1,949.00",1
