,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/04/26 - 30/04/26],Report Updated=[03/05/26]
FBA79447,AM-W34,B0DFMLXD9S,"Audio Array AM-W34 UHF Dual Wireless Premium Metal Microphones | 800mAh 6-8 Hours Receiver Battery Backup | Range up to 50M | Karaoke Singing, Wedding, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹10,166.94",3,₹0.00,₹0.00,3,1
FBA79820,AC-3XL,B0FQJWWDVK,"Audio Array AC-3XL Mic Cable 6.35mm Jack Male to XLR 3PIN Female Cord Wire | Microphone/Guitar Cable | Black, 1pc Pack (3 Meter/10 Feet)",Audio Array,IN,"₹9,512.67",25,₹0.00,₹0.00,25,9
FBA79448,AM-W35,B0DFMKY4TT,"Audio Array AM-W35 UHF Dual Wireless Premium Karaoke Microphones | 800mah 5-6 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹9,150.00",3,₹0.00,₹0.00,3,2
FBA79655,AM-C44 Pro,B0DN6PFWNK,Audio Array AM-C44 Pro XLR/USB Professional Dynamic Microphone Kit | Built-in Monitoring | One Touch Mute & Volume Control | 192kHz/24bit Full Metal Build | 2M XLR & USB Cable | Streaming & Podcasting,Audio Array,IN,"₹8,811.87",2,₹0.00,₹0.00,2,1
FBA80002,AM-W33 Pro,B0GW96SHSK,Audio Array Solo UHF Wireless Microphone System with Brief Case | 24Bit/48kHz Audio | Dual Channel Dynamic Mics | 50m Range | Cardioid Pickup | DSP Frequency Lock | Rechargeable Battery | AM-W33 Pro,Audio Array,IN,"₹8,641.53",3,₹0.00,₹0.00,3,
FBA75680,AM-C6,B0B4G1PXWV,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",Audio Array,IN,"₹8,470.34",5,₹0.00,₹0.00,5,2
FBA79826,PB-02 (AI-04 Red + AM-C11 + AA-05),B0FJ2LQT7K,"Audio Array Complete Podcast Bundle | USB/XLR Dynamic Mic with Audio Interface 24bit/192kHz & Boom Arm Stand | Professional Streaming & Recording Kit for PC, Mac & Mobile Devices - PB-02",Audio Array,IN,"₹8,050.00",1,₹0.00,₹0.00,1,
FBA75676,AM-C4,B0B4DS678Q,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",Audio Array,IN,"₹8,046.60",5,₹0.00,₹0.00,5,1
FBA79108,AM-W16,B0CM9L1QZG,"Audio Array AM-W16 Solo Wireless Lapel Over Ear Mic|in-Built ANC,Plug N Play,LongBattery Life,Ultra-Low Latency,Upto 30M Range|Compatible with iPhone&Android|Vlogging,Streaming,Teaching,YouTube,Black",Audio Array,IN,"₹6,859.32",6,₹0.00,₹0.00,6,2
FBA75686,AM-W10,B0B4G89VQJ,"Audio Array AM-W10 Professional Dual Wireless Lapel Mics | Upto 10hr Battery & 100m Range | 2X Lapel mics, Type C Adapter for Easy Plug&Play | Volume & Mute Function | Vlogging, Streaming, YouTube",Audio Array,IN,"₹6,608.48",2,₹0.00,₹0.00,1,
FBA79446,AM-W33,B0DFMMTWLY,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹5,432.20",3,₹0.00,₹0.00,3,
FBA77010,AI-04 Black,B0BPMBMN3S,Audio Array AI-04 2x2 Audio Interface | Premium Mic Pre-Amps | 48V Phantom Power Support | 24-bit/192kHz High Fidelity Recording | XLR/MIC/LINE inputs | Plug and Play-No Drivers | Metal Body | Black,Audio Array,IN,"₹5,197.46",1,₹0.00,₹0.00,1,1
FBA79016,AM-C3a,B0CH4R1V6S,"Audio Array AM-C3a Unidirectional Dynamic Handheld Karaoke Microphone | 20Hz - 20kHz Response | Karaoke Singing, Public Meetings, Studio Recording, Live Sound, Party (no Cable Included)",Audio Array,IN,"₹4,739.84",7,₹0.00,₹0.00,8,5
FBA79996,AM-C49,B0GW8Z556N,"Audio Array Dynamic XLR to TRS Microphone | 24Bit/48kHz | Cardioid Pickup | Metal Body & 14mm Diaphragm 3M Cable | for Podcast, Streaming, Vocal Recording & Studio Use | AM-C49",Audio Array,IN,"₹4,665.50",6,₹0.00,₹0.00,5,2
FBA79832,GB-05 (AM-C43 + AI-06),B0FJ8S53GW,"Audio Array Streaming Bundle Kit | USB Condenser Mic & RGB Sound Card with Phantom Power, Voice Effects, Real-Time Monitoring | for Podcasting, Gaming, YouTube & Live Streaming - GB-05",Audio Array,IN,"₹4,575.42",1,₹0.00,₹0.00,2,
FBA79008,AI-06,B0CH4RT4P8,"Audio Array AI-06 Streaming Audio Mixer Sound Card | XLR, 1/4"" & line in | PC/Phone RGB Mixer with Volume Fader, Individual Control, Mute and Monitoring, 48V Phantom Power | Stream, Podcast & Karaoke",Audio Array,IN,"₹4,410.55",2,₹0.00,₹0.00,2,
FBA79958,AM-W24,B0G3Q59X8C,"Audio Array AM-W24 2026 Edition Magnetic Wireless 5gm Mic with Slide Charging Case for iPhone/Android/iPad, AI Noise Reduction, 30H Battery, 200ft Range, Plug & Play for Recording, Vlogging, Streaming",Audio Array,IN,"₹4,378.48",3,₹0.00,₹0.00,3,2
FBA80009,AM-C51,B0GW8R2RYM,"Audio Array Premium Dynamic XLR to TRS Microphone | 24Bit/48kHz | Cardioid Pattern | Metal Body & 14mm Diaphragm 3M Cable | for Podcast, Streaming, Studio Recording & Gaming | AM-C51",Audio Array,IN,"₹4,065.24",3,₹0.00,₹0.00,2,
FBA75689,AM-W13,B0B4G59Y8W,"Audio Array AM-W13 UHF Wireless Premium Metal Microphone | 4+ Hours Receiver Battery Backup | Range up to 60m | Karaoke Singing, Wedding, DJ | Compatible with PA System, Amplifier, Mixer, Party Box",Audio Array,IN,"₹3,727.12",2,₹0.00,₹0.00,2,1
FBA79846,AM-C11X Pro,B0FN7C25VS,"Audio Array AM-C11X Pro XLR Podcast Mic Kit with Dynamic Microphone, 2m XLR Cable & Adjustable Boom Arm | Studio-Quality Sound, 20Hz–20kHz, All-Metal Build for Podcasting, Streaming & Recording",Audio Array,IN,"₹3,388.98",1,₹0.00,₹0.00,1,
FBK79009,AM-C41,B0FLYHJ6DK,"Audio Array AM-C41 Plug & Play AI Noise Cancellation USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Tripod, Mic Cover | Gaming, Streaming, Podcast | Mac/PC/Laptop/Mobile",Audio Array,IN,"₹2,710.16",2,₹0.00,₹0.00,2,3
FBA76727,AM-C24,B0BLKCDRNB,"Audio Array AM-C24 USB Plug & Play Retro Microphone Kit | No Latency Monitoring & Volume Control Knob | Gaming, Streaming, Podcast, Singing, Discord, Zoom Meeting, YouTube | Laptop, PC, Smartphones",Audio Array,IN,"₹2,710.16",2,₹0.00,₹0.00,2,
FBA79465,AM-W21,B0DFMQCGT1,"Audio Array AM-W21 Wireless Microphone Kit | Built in Recording, Noise Reduction & Echo | Smartphones, Cameras, Laptops | Dual-Channel Recording, 200 feet Transmission Range, 48-Hour Battery Life",Audio Array,IN,"₹2,477.97",1,₹0.00,₹0.00,1,
FBA79783,AM-C47,B0FF9R3GKK,"Audio Array AM-C47 RGB USB Condenser Mic Kit | AI Noise Cancellation, 192kHz/24Bit Studio Quality, Touch Control, Headphone Monitoring | Podcasting, YouTube, Gaming & Streaming | Mac/PC & Mobile",Audio Array,IN,"₹2,414.41",1,₹0.00,₹0.00,1,2
FBA76723,AM-C20,B0BLKF46QG,"Audio Array AM-C20 USB Microphone | Unique Tilt Stand & one Touch Mute | Plug n Play, No Latency Cardioid Pickup | for PC, Smartphones, iOS | Gaming, Streaming, Podcasts, Twitch, YouTube, Discord",Audio Array,IN,"₹2,286.44",2,₹0.00,₹0.00,4,
FBA78204,AM-C31,B0C4YT43Z3,"Audio Array AM-C31 USB Plug & Play Condenser Microphone Kit | Pop-Filter & Metallic Base | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | for PC/Mobile, Gaming, Podcasting & Streaming",Audio Array,IN,"₹1,863.56",1,₹0.00,₹0.00,1,
FBA75687,AM-W11,B0B4G5ZLTB,"Audio Array AM-W11 Wireless Mic | Upto 4hr Battery & 60m Range | Volume & Mute Buttons with Indicators | Streaming, Vlogging, YouTube | 1x Lapel mic, Type C Adapter for Plug & Play | 2 Year Warranty",Audio Array,IN,"₹1,863.56",1,₹0.00,₹0.00,1,
FBA78203,AM-C30,B0C4YTNJG7,"Audio Array AM-C30 Metal RGB Professional USB Microphone | One-Touch Mute, Gain & No-Latency Monitoring Controls | Shock Mount and Tripod | for PC/Mobile, Gaming, Streaming, Podcasting & Voiceover",Audio Array,IN,"₹1,694.07",1,₹0.00,₹0.00,1,
FBA79995,AM-C50,B0GW8VBCBL,"Audio Array Dynamic XLR to TRS Microphone | 24Bit/48kHz | Cardioid Pickup | Metal Body & 14mm Diaphragm 3M Cable | for Podcast, Streaming, Vocal Recording & Studio Use | AM-C50",Audio Array,IN,₹856.19,1,,,,
FBA79823,PB-01 (AM-C11 + AI-04),B0FJ2HZCVN,"Audio Array Ultimate Podcast Bundle | Dynamic Microphone with USB/XLR Connectivity & 24-Bit/192kHz Audio Interface | Ideal for Podcasting, Streaming, Voice Recording & Content Creation - PB-01",Audio Array,IN,₹0.00,0,,,,
FBA80010,AM-C52,B0GW8ZQRFK,"Audio Array Premium Dynamic XLR to TRS Microphone | 24Bit/48kHz | Cardioid Pattern | Metal Body & 14mm Diaphragm 3M Cable | for Podcast, Streaming, Studio Recording & Gaming | AM-C52",Audio Array,IN,₹0.00,0,,,,
FBA79844,PB-08 (AM-C1 + AI-04),B0FN7DYB2M,"Audio Array Podcast Bundle with USB Condenser Mic Kit, Audio Interface |192kHz/24bit Studio Quality, Plug & Play, Phantom Power, Real-Time Monitoring for Recording, Streaming & Podcasting - PB-08",Audio Array,IN,₹0.00,0,,,,
