amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-iba 
406-0775942-6745148	406-0775942-6745148	2025-12-27T11:58:20+00:00	2025-12-27T14:04:07+00:00	Shipped	Amazon	Amazon.in			Expedited	nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification &	FBA79263	B0CYSLCRQS	Shipped	1	INR	2949.0		79.0				58.98	79.0	MUMBAI	MAHARASHTRA	400050	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
408-4984814-8173925	408-4984814-8173925	2025-12-27T11:38:36+00:00	2025-12-27T18:04:03+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Steamer For Cold & Cough| Face Steam,Inhaler & Vaporizer | Perfect for Facial & Aromatherapy | Nano Ionic Steam | Uv Sterilization | Aroma Diff	FBA79404	B0D9KFZYG8	Shipped	1	INR	1749.0								Suryapet	TELANGANA	508213	IN		false				false
408-5463222-1639518	408-5463222-1639518	2025-12-27T11:18:26+00:00	2025-12-27T16:15:47+00:00	Cancelled	Amazon	Amazon.in			Expedited	NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for	FBA79493	B0DQCWRG3H	Cancelled	0										BENGALURU	KARNATAKA	560072	IN	PLM-44130194-fe6b-4023-be96-bcab5bb15b10	false				false
407-1413141-0825928	407-1413141-0825928	2025-12-27T11:11:21+00:00	2025-12-27T17:10:02+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for	FBA79493	B0DQCWRG3H	Shipped	1	INR	1999.0		40.0					40.0	KANNUR	KERALA	670631	IN		false				false
171-2585977-2412335	171-2585977-2412335	2025-12-27T11:08:15+00:00	2025-12-27T14:02:17+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Friz	FBA79406	B0DCK3N2JJ	Shipped	1	INR	2374.0								Mumbai	MAHARASHTRA	400071	IN		false				false
408-2192693-0997956	408-2192693-0997956	2025-12-27T10:52:42+00:00	2025-12-28T10:53:09+00:00	Cancelled	Amazon	Amazon.in			Expedited	NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for	FBA79493	B0DQCWRG3H	Cancelled	0										JODHPUR	RAJASTHAN	342027	IN		false				false
404-1283127-4654746	404-1283127-4654746	2025-12-27T10:50:54+00:00	2025-12-27T21:54:02+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office Cleaning machine | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Gr	FBA79652	B0F43P6D23	Shipped	1	INR	2949.0		40.0					40.0	BHUJ	GUJARAT	370001	IN		false				false
405-3115482-3534740	405-3115482-3534740	2025-12-27T10:50:49+00:00	2025-12-27T19:05:05+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Cool Mist Humidifier | 2.2L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 30Hrs on Low Setting | 360° Nozzle | Auto Shut-	FBA79682	B0DVC8NYY2	Shipped	1	INR	2049.0								PALEJ	GUJARAT	392220	IN		false				false
171-4116742-1496317	171-4116742-1496317	2025-12-27T10:28:17+00:00	2025-12-27T16:43:12+00:00	Shipped	Amazon	Amazon.in			Expedited	nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification &	FBA79263	B0CYSLCRQS	Shipped	1	INR	2949.0								KANPUR	UTTAR PRADESH	208027	IN		false				false
405-7058054-6731549	405-7058054-6731549	2025-12-27T10:24:51+00:00	2025-12-28T08:27:03+00:00	Shipped	Amazon	Amazon.in			Standard	Nexlev SWIPE Steam Cleaner | 3.5 Bar Strong Steam|Multipurpose Steam Cleaner for Car, Kitchen, Bathroom, Floor, Window, Glass, Upholstery| 8 Accessori	FBA79277	B0D672NXC8	Shipped	1	INR	0.0								Trivandrum	KERALA	695043	IN		false				false
408-6875665-3259508	408-6875665-3259508	2025-12-27T09:56:28+00:00	2025-12-27T10:01:11+00:00	Cancelled	Amazon	Amazon.in			Standard	NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for	FBA79493	B0DQCWRG3H	Cancelled	0										PANDUA	WEST BENGAL	712149	IN		false				false
403-7274784-3411526	403-7274784-3411526	2025-12-27T09:48:58+00:00	2025-12-29T11:04:41+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Steamer For Cold & Cough| Face Steam,Inhaler & Vaporizer | Perfect for Facial & Aromatherapy | Nano Ionic Steam | Uv Sterilization | Aroma Diff	FBA79404	B0D9KFZYG8	Shipped	1	INR	1749.0								PANCHKULA	HARYANA	134109	IN		false				false
403-2571229-8101901	403-2571229-8101901	2025-12-27T09:42:55+00:00	2025-12-27T09:46:37+00:00	Cancelled	Amazon	Amazon.in			Expedited	NexLev Steamer For Cold & Cough| Face Steam,Inhaler & Vaporizer | Perfect for Facial & Aromatherapy | Nano Ionic Steam | Uv Sterilization | Aroma Diff	FBA79404	B0D9KFZYG8	Cancelled	0										PANCHKULA	HARYANA	134109	IN		false				false
403-1617978-1962760	403-1617978-1962760	2025-12-27T09:37:59+00:00	2025-12-27T21:50:06+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for	FBA79493	B0DQCWRG3H	Shipped	1	INR	1999.0		59.0					59.0	AGRA	UTTAR PRADESH	282001	IN		false				false
406-8619725-1891565	406-8619725-1891565	2025-12-27T09:36:56+00:00	2025-12-27T15:20:05+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Professional Air Purifier for 650 sq ft Area| 8500 Hrs Filter Life|True HEPA 13 Filter |Captures 99.99% Virus and PM 2.5 Particle|For Home & Of	FBA79683	B0DVC9PRSD	Shipped	2	INR	26980.0		80.0					80.0	PUNE	MAHARASHTRA	411014	IN		false				false
171-4830222-2324324	171-4830222-2324324	2025-12-27T09:35:52+00:00	2025-12-28T21:02:04+00:00	Shipped	Amazon	Amazon.in			Expedited	NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for	FBA79493	B0DQCWRG3H	Shipped	1	INR	1999.0		40.0					40.0	MYSURU	KARNATAKA	570004	IN		false				false
407-5917826-6166738	407-5917826-6166738	2025-12-27T09:34:26+00:00	2025-12-27T13:44:43+00:00	Cancelled	Amazon	Amazon.in			Expedited	NexLev Beard Trimmer| 90min Run Time| 40 Length Settings| 0.5mm Precision| Washable Stainless Steel Blades| Copper Motor| USB Type-C| IPX7 Waterproof|	FBA79467	B0DK9LYT4P	Cancelled	0										BINDKI	UTTAR PRADESH	212657	IN		false				false
