SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79493,V-03,B0DQCWRG3H,B0DQCWRG3H,NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for Tangle Free Styling|Salon Like Styles at Home|V-03,"4,986",16,2.22%,0.38%,"6,988",23,2.33%,0.39%,28.82%,0.00%,29,0,0.58%,0.00%,"₹ 56,334.00",₹ 0.00,29,0
FBA79489,KE-02,B0DFD123P5,B0DFD123P5,"Nexlev MultiPurpose Electric Food Kettle|1.5 L Ceramic Pot | 600W| Boil, Steam, Fry, Saute| Double Layered Body| 2 Temperature Settings| Multi Cooker for Water, Egg, Tea, Soup, Noodles, Rice| KE-02","2,095",32,0.93%,0.75%,"3,137",54,1.05%,0.92%,89.54%,84.00%,27,0,1.29%,0.00%,"₹ 43,173.00",₹ 0.00,27,0
FBA79452,VC-01,B0DCGHVN81,B0DCGHVN81,NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagless| Deep Cleaning for Sofa Bed Window & more|VC-01,"4,624",35,2.06%,0.82%,"6,591",45,2.20%,0.77%,39.92%,33.33%,26,0,0.56%,0.00%,"₹ 49,975.00",₹ 0.00,26,0
FBA79439,MR-02,B0DCK7ZH5P,B0DCK7ZH5P,"NexLev Mattress, Sofa, Carpet & Car Seat Vacuum Cleaner|For Dust Mites Allergens & Pet Hair|Cordless Design|1500*3 mAh |UV Sterilization, Double Beat Technology|Type C| HEPA captures 99.99% Dust|MR-02","7,659",144,3.41%,3.39%,"9,118",176,3.04%,3.01%,48.32%,51.76%,22,2,0.29%,1.39%,"₹ 74,041.00","₹ 6,798.00",22,2
FBA79350,EA-01,B0D67727VG,B0D67727VG,NexLev LED Therapy Oil Applicator | Reduce Dandruff | Improve Hair Growth | EMS for Scalp Improvement | Red & Blue Light | High Frequency Massage for Better Absorption | 10 ML | Waterproof | EA-01,950,31,0.42%,0.73%,"1,309",43,0.44%,0.74%,70.50%,66.67%,22,2,2.32%,6.45%,"₹ 24,178.00","₹ 2,198.00",21,2
FBA79681,HU-01,B0DVC968P1,B0DVC968P1,"NexLev Cool Mist Humidifier | 3.5L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 44Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-01",568,16,0.25%,0.38%,807,21,0.27%,0.36%,70.49%,66.67%,21,0,3.70%,0.00%,"₹ 33,584.00",₹ 0.00,21,0
FBA79679,ST-01,B0DVC7VJP1,B0DVC7VJP1,"NexLev Stand Mixer |5.5L SS Bowl | 1500W |10 Speeds | Pulse Function |Planetary Rotation | Whisk, Beater & Dough Hook|100% Copper Motor | For Roti & Cookie Dough, Cake Making, Whip Cream & more |ST-01","1,711",28,0.76%,0.66%,"2,279",38,0.76%,0.65%,86.61%,0.00%,14,0,0.82%,0.00%,"₹ 83,706.00",₹ 0.00,14,0
FBA78980,GS-02,B0CDPMX152,B0CDPMX152,NexLev Handheld Garment Steamer | 1500 Watts | 300 ML| Standing & Horizontal Iron Press | Damage Free Steaming for all Cloth Types | 25s Quick Heat |Upto 5 Clothes in One Fill | Travel Friendly |GS-02,"3,472",27,1.54%,0.64%,"4,564",40,1.52%,0.68%,16.27%,50.00%,11,0,0.32%,0.00%,"₹ 22,550.00",₹ 0.00,11,0
FBA79265,CR-01,B0D2LHNS9B,B0D2LHNS9B,"NexLev Foot Callus Remover | Electric Scrubber & Shaver for Dead, Hard & Cracked Skin | Professional Pedicure at Home | Waterproof | Type C | 3 Crystal Quartz Heads | For Men and Women| CR-01",112,1,0.05%,0.02%,156,1,0.05%,0.02%,65.19%,0.00%,9,0,8.04%,0.00%,"₹ 4,823.00",₹ 0.00,9,0
FBA79819,LR-03,B0FT8R24QM,B0FT8R24QM,"NexLev Lint Remover | for Woolen Sweaters Shirts Socks Jackets Suede Leggings Curtains & Carpets |Fabric Brush | Pill, Rue & Burr Remover | Battery Powered| Stainless Steel Blade |Safety Lock | LR-03",287,3,0.13%,0.07%,430,3,0.14%,0.05%,63.54%,0.00%,8,0,2.79%,0.00%,"₹ 3,137.00",₹ 0.00,8,0
FBA79373,ET-01-BK_N,B0D2P5TGWK,B0D2P5TGWK,NexLev Smart Electric Toothbrush for Adults | 2-Min Timer with Quadpacer | 2 Replaceable Heads | AAA Battery | 3 Cleaning Modes | Upto 60 Days | Waterproof | Travel Case | Soft Bristles | ET-01 Black,678,5,0.30%,0.12%,934,10,0.31%,0.17%,25.00%,0.00%,7,0,1.03%,0.00%,"₹ 2,157.00",₹ 0.00,7,0
FBA79573,EA-02,B0DKK15YNJ,B0DKK15YNJ,NexLev Oil Applicator Comb|Red Led Light Therapy |Boost Hair Growth| Reduce Dandruff | Relieve Stress |High Vibration Corded Electric Scalp/Head Massager | 6 ML Oil Tank | 2 Hr Run-Time| Type-C|EA-02,"1,466",37,0.65%,0.87%,"1,912",45,0.64%,0.77%,41.76%,50.00%,7,0,0.48%,0.00%,"₹ 19,488.00",₹ 0.00,7,0
FBA79333,HM-02,B0D63DTKQB,B0D63DTKQB,NexLev 2 in 1 Scalp Massager & red Light Therapy |LED Massage Comb for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Head Massage | 120 Min Runtime | Type C | Washable Heads | HM-02,286,3,0.13%,0.07%,387,4,0.13%,0.07%,90.14%,0.00%,6,0,2.10%,0.00%,"₹ 7,095.00",₹ 0.00,6,0
FBA79406,HSB-04,B0DCK3N2JJ,B0DCK3N2JJ,"NexLev Ionic Cordless Hair Straightener Brush | 60min Runtime | upto 200° Heating | Portable & Type C Rechargeable | Keratin Bristles |Straight, Frizz Free & Shiny Hair | Compact Comb Design | HSB-04","7,951",33,3.54%,0.78%,"10,183",39,3.40%,0.67%,16.17%,5.26%,6,0,0.08%,0.00%,"₹ 14,994.00",₹ 0.00,6,0
FBA79570,BR-01,B0DKJXRXKM,B0DKJXRXKM,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,"1,791",38,0.80%,0.89%,"2,478",66,0.83%,1.13%,3.59%,2.56%,6,0,0.34%,0.00%,"₹ 6,396.00",₹ 0.00,6,0
FBA79567,SC-04,B0DNJS23HS,B0DNJS23HS,NexLev 10 in 1 Steam Cleaner & Mop|2 Steam Modes| Mopping & Deep Cleaning Home Car Sofa Bathroom Kitchen & Office |For All Surfaces|350ML|Chemical Free Cleaning | Detachable & Foldable|SC-04,"7,843",102,3.49%,2.40%,"10,462",141,3.49%,2.41%,23.46%,21.05%,6,0,0.08%,0.00%,"₹ 35,218.00",₹ 0.00,6,0
FBK79271,V-01 RG,B0DQ8W1RBV,B0DQ8W1RBV,"NexLev Ionic Hot Air Brush | 3 in 1 Blow Dryer, Straightener, Volumizer & Styler | 360° Airflow Vents | Ceramic Tourmaline Coated Brushing Head | Tangle Free Bristle |3 Speed & 2 Heat Settings|V-01RG",860,5,0.38%,0.12%,"1,242",11,0.41%,0.19%,40.29%,0.00%,6,0,0.70%,0.00%,"₹ 8,994.00",₹ 0.00,6,0
FBA79692,AP-03,B0DVC58QPZ,B0DVC58QPZ,NexLev Smart Air Purifier | Home Room & Office Use upto 220 sq ft |True HEPA 13 Filter | Eliminate 99.99% Virus Dust Smoke Odor Pollen Allergens & Pollutants | Long Filter Life |3 Year Warranty |AP220,"1,695",79,0.75%,1.86%,"2,440",117,0.81%,2.00%,31.59%,30.16%,6,0,0.35%,0.00%,"₹ 27,894.00",₹ 0.00,6,0
FBA79263,MR-01,B0CYSLCRQS,B0CYSLCRQS,"nexlev Mattress, Sofa & Carpet Vacuum Cleaner | for Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","46,754",814,20.80%,19.15%,"56,386","1,001",18.80%,17.14%,2.43%,1.08%,5,0,0.01%,0.00%,"₹ 14,995.00",₹ 0.00,5,0
FBA79349,SW-01,B0D9KDQCCM,B0D9KDQCCM,Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all Fabrics| 1 Year Warranty| White,"1,208",27,0.54%,0.64%,"1,688",45,0.56%,0.77%,20.65%,16.67%,5,1,0.41%,3.70%,"₹ 6,050.00","₹ 1,210.00",5,1
FBA79405,HSB-03,B0D9KFP4MG,B0D9KFP4MG,NexLev Ionic Hair Straightener Brush |Frizz-Free Straightening upto 12 H |Ceramic Tourmaline Coated| 60mm Wide Brush | 130-210° |Keratin Bristles| Thermo Protect Technology |No Scalp Burn|1500W|HSB-03,697,7,0.31%,0.16%,927,9,0.31%,0.15%,63.90%,0.00%,5,0,0.72%,0.00%,"₹ 9,495.00",₹ 0.00,5,0
FBA79599,VC-06,B0DRD8J8R5,B0DRD8J8R5,nexlev Handheld Vacuum Cleaner| 600 W | 17.5 Kpa Suction | 5 M Cord | Lightweight | Washable Hepa Filter and Dust Container| 4 Attachments | Compact Size | Home & Office Use| VC-06,725,12,0.32%,0.28%,838,16,0.28%,0.27%,64.93%,30.00%,5,0,0.69%,0.00%,"₹ 6,995.00",₹ 0.00,5,0
FBA78981,SC-01,B0CDPP45BM,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 4 Mtr Cord | 1000W |SC-01","9,340",166,4.15%,3.91%,"12,541",229,4.18%,3.92%,1.04%,0.00%,4,0,0.04%,0.00%,"₹ 14,436.00",₹ 0.00,4,0
