,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail - Autio Array - Amazon Now;Cambium Retail Private Limited - Master - PC - MH;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/10/25 - 31/10/25],Report Updated=[04/08/26]
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA75675,AM-C3,B0B4G8ZB64,"Audio Array AM-C3 XLR to TRS Dynamic Handheld Karaoke Microphone | Premium Metal Built with 3M Cable | Singing, Public Meetings, Studio Recording, Live Show, Party, Church, Wedding",Audio Array,IN,38006.75,52,0,0,52,7
FBA79447,AM-W34,B0DFMLXD9S,"Audio Array AM-W34 UHF Dual Wireless Premium Metal Microphones | 800mAh 6-8 Hours Receiver Battery Backup | Range up to 50M | Karaoke Singing, Wedding, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,34439.84,11,0,0,12,
FBA78925,AM-C11X,B0CBC7QMNV,"Audio Array AM-C11X XLR Dynamic Microphone | Studio-Quality Audio Output | Cardioid Polar Pattern | Premium Metal Build | 2 Meter XLR Cable | for Streaming, Gaming, Podcasting, Singing",Audio Array,IN,30881.38,10,0,0,12,2
FBA75678,AA-01,B0B4G8PH2P,"Audio Array Suspension Boom Scissor Microphone Stand | Double Layer Mesh Pop Filter | 70cm Sturdy Boom Arm with 1.8kg Capacity | 5/8"" to 3/8"" Screw Adapter | Mic Holder, Foam Cover, Cable Ties | AA-01",Audio Array,IN,27105.91,15,0,0,14,4
FBA75679,AA-02,B0B4JRQP22,"Audio Array AA-02 3-Panel Curved Isolation Shield with Insulation, Absorption & Reflection Filter | 3/8"" and 5/8"" Universal Mic Mount for Recording Studio, Podcasts, Singing & Broadcasting",Audio Array,IN,26621.18,12,0,0,10,2
FBA79838,AH-40 SL,B0FQBX8J17,"Audio Array AH-40-SL Wired Over-Ear Headphones | 40mm Drivers, 15-22KHz, 32Ω, 105dB SPL | Studio Monitoring, Gaming, Live Music Headset with 3.5mm + 6.3mm Plug Compatibility",Audio Array,IN,26012.1,23,0,0,20,
FBA75691,AM-W14,B0B4G5JG4P,"Audio Array AM-W14 UHF Dual Wireless Premium Metal Microphone | 2X XLR Outs & 1/4"" Mix Out | Range up to 200ft/60m | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",Audio Array,IN,25805.09,5,0,0,4,3
FBA79846,AM-C11X Pro,B0FN7C25VS,"Audio Array AM-C11X Pro XLR Podcast Mic Kit with Dynamic Microphone, 2m XLR Cable & Adjustable Boom Arm | Studio-Quality Sound, 20Hz–20kHz, All-Metal Build for Podcasting, Streaming & Recording",Audio Array,IN,24951.69,7,0,0,7,3
FBA75689,AM-W13,B0B4G59Y8W,"Audio Array AM-W13 UHF Wireless Premium Metal Microphone | 4+ Hours Receiver Battery Backup | Range up to 60m | Karaoke Singing, Wedding, DJ | Compatible with PA System, Amplifier, Mixer, Party Box",Audio Array,IN,23886.47,14,0,0,17,8
FBA79833,PB-04 (AI-04 Red + AM-C44 x 2),B0FJ8PZ9H7,"Audio Array Pro Podcasting Bundle | Audio Interface with 48V Phantom Power & Dual USB/XLR Touch-Control Mics | 192kHz/24bit, Mute, Monitor, Volume Control | Recording, Streaming & Podcasting - PB-04",Audio Array,IN,23727.12,2,0,0,2,2
FBA75676,AM-C4,B0B4DS678Q,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",Audio Array,IN,23377.98,14,0,0,16,5
FBA79840,AH-60-RD,B0FQBWV1ST,"Audio Array AH-60-RD Semi-Open Back DJ Headphones | 50mm Drivers Delivers Dynamic Balanced Output | 15Hz–25kHz, 32Ω, 100dB SPL, 1200mW | 3m OFC Single-Sided Cable with Screw-On 3.5mm + 6.3mm Plug",Audio Array,IN,22845.7,12,0,0,12,
FBA79841,AH-60-BL,B0FQBTRM28,"Audio Array AH-60-BL, 60Ω, Professional Monitoring Headphones | 53mm Drivers | 10Hz–30KHz | 105dB SPL | Closed-Back, DJ & Studio | 3m Cable with 3.5mm & 6.3mm Plugs (Blue)",Audio Array,IN,18828.32,10,0,0,9,2
FBA75680,AM-C6,B0B4G1PXWV,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",Audio Array,IN,18634.77,11,0,0,10,2
FBA79009,AM-C41,B0CH4PMR8K,"Audio Array AM-C41 Plug & Play AI Noise Cancellation USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Tripod, Mic Cover | Gaming, Streaming, Podcast | Mac/PC/Laptop/Mobile",Audio Array,IN,18565.25,13,0,0,14,3
FBA79356,AA-19WL,B0D3Q2T5XX,Audio Array AA-19WL RGB Low Profile Boomarm Stand with Riser | 71cm reach & 20 RGB lighting effects & Built-In Cable Management | Matte finish with Flexible adjustments | 2Kg Weight Capacity | White,Audio Array,IN,16688.99,4,0,0,3,1
