asin,week,brand,SKU,Model,(Parent) ASIN,Title,sessions,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,buy_box_pct,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,conversion_pct,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B,gmv,Spend,Clicks,Impressions,attributed_sales,ams_orders,ad_channel,acos,roas,tacos,cac,attributed_sales_pct,organic_sales_pct
B0DFCDZWND,19,Nexlev,FBA79472,CM-02-PR,B0DFCDZWND,NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable | Gift for Women| Strap upto 40 Inch |Purple CM-02,122,0,0.0008,0.0,174,0,0.0009,0.0,1.0,0.0,1,0,0.0164,0.0,1355.084745762712,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,SP_SD,,,,,,
B0DFCG2VGS,19,Nexlev,FBA79488,KE-01,B0DFCG2VGS,"Nexlev Multi Purpose Electric Food Kettle|1.8L Stainless Steel Pot| 600W|Boil, Steam, Fry, Saute| Double Layered Body|2 Heat Settings|Multi Function for Water, Milk, Egg, Soup, Noodles|KE-01",588,12,0.0039,0.0048,814,16,0.004200000000000001,0.0049,0.9944999999999999,1.0,2,0,0.0068,0.0,3938.983050847458,0.0,2,0,0,1003.1800000000001,102.0,26781.0,1651.69,1.0,SP_SD,0.6073657889797722,1.6464542754042146,,1003.1800000000001,,
B0DFD123P5,19,Nexlev,FBA79489,KE-02,B0DFD123P5,"Nexlev MultiPurpose Electric Food Kettle|1.5 L Ceramic Pot | 600W| Boil, Steam, Fry, Saute| Double Layered Body| 2 Temperature Settings| Multi Cooker for Water, Egg, Tea, Soup, Noodles, Rice| KE-02",478,14,0.0032,0.0056,666,16,0.0035,0.0049,0.9933,1.0,3,0,0.0126,0.0,4785.593220338983,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0DFM4JZV9,19,Nexlev,FBA79466,TI-01,B0DFM4JZV9,"Nexlev Tyre Inflator for Car | Touch Control |150 PSI |12V DC| 4 Nozzles | Digital Tyre Pressure Gauge| Carry Bag | Suitable for Bike, Bicycle or Any Inflatable | Emergency LED Light | TI-01",24,0,0.0002,0.0,30,0,0.0002,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,81.15,6.0,1165.0,0.0,0.0,SP_SD,,0.0,,,,
B0DFMRG2K4,19,Nexlev,FBA79481,TM-02,B0DFMRG2K4,"NexLev All in One Body Trimmer for Men | Suitable for Beard, Body, Balls, Pubic Hair, Private Parts | 90 Min Runtime |Type C | IPX 7 Waterproof | No Nicks No Cuts | 2 Safety Combs| Extra Blade | TM-02",36,2,0.0002,0.0008,40,2,0.0002,0.0006,0.3158,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0DGTGKPJR,19,Nexlev,FBA79436,MR-01 HEPA Filter,B0DGTGKPJR,"NexLev Replacement HEPA Filter | Compatible with NexLev Corded Mite Remover (MR-01) | Captures 99.99% Dust, Mites & Allergens | Washable & Durable Filter | Easy to Install & Maintain",3,0,0.0,0.0,3,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0DJFH4K8B,19,Nexlev,FBA79474,TIC-03,B0DJFH4K8B,NexLev Cordless Tyre Inflator for Cars & Bikes|150 PSI| 2x2000 mAh Powerbank| Type-C Port| 5 Pre Set Mode|Auto Shut-Off |Digital Display| LED light | Multiple Nozzles| Aer Pro TIC-03,50,4,0.0003,0.0018,61,6,0.0003,0.002,0.9474,1.0,1,0,0.02,0.0,1569.491525423729,0.0,1,0,0,757.3399999999999,39.0,9227.0,1569.49,2.0,SP_SD,0.4825389139147111,2.0723717220799114,,378.66999999999996,,
B0DJFH6RTL,19,Nexlev,FBA79473,TI-02,B0DJFH6RTL,"NexLev Portable Tyre Inflator for Car, Bike, Cycle|150 PSI Pressure| 120 Watt Air Pump|12V Car Plug| Digital Display| Auto Shut-Off| Emergency LED Light| 3m Cord| 3 Air Nozzles| Compact| AER TI-02",71,4,0.0005,0.0018,91,5,0.0005,0.0017,1.0,1.0,1,0,0.0141,0.0,1439.830508474576,0.0,1,0,0,957.6600000000001,53.0,17349.0,1439.83,1.0,SP_SD,0.6651201877999487,1.503487667857068,,957.6600000000001,,
B0DJFJZMC6,19,Nexlev,FBA79475,TIC-04,B0DJFJZMC6,"nexlev Cordless & Corded Tyre Inflator|150 PSI| 6000 mAh Powerbank|LED Light | Type C Port |Digital Display| 5 Pre-Set Modes|Auto Shut-Off |Multiple Nozzles for Cars, Bikes, Cycle| AER Pro Max TIC-04",9,1,0.0001,0.0004,11,1,0.0001,0.0003,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
B0DK9LYT4P,19,Nexlev,FBA79467,TM-01,B0DK9LYT4P,NexLev Beard Trimmer| 90min Run Time| 40 Length Settings| 0.5mm Precision| Washable Stainless Steel Blades| Copper Motor| USB Type-C| IPX7 Waterproof| Travel Lock| 2 Beard Comb| 1 Year Warranty |TM-01,19,0,0.0001,0.0,25,0,0.0001,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
