SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79591,KM-01,B0DM66B2DW,B0DM66B2DW,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",92,3,0.03%,0.06%,131,5,0.03%,0.08%,92.17%,100.00%,4,0,4.35%,0.00%,"₹ 3,683.90",₹ 0.00,3,0
FBA79492,V-02,B0DT6Y7KJM,B0DT6Y7KJM,"NexLev IONIC Volumizer + Straightening Brush| 1200 W| Ceramic Tourmaline Coating| Hot Air Brush| Large Barrel| Ionic Technology| Dual bristles for drying, volumizing & straightening | 360° vents| V-02",583,7,0.18%,0.15%,652,7,0.16%,0.11%,99.04%,100.00%,3,0,0.51%,0.00%,"₹ 3,896.61",₹ 0.00,3,0
FBA79809,KE-03,B0FJ8SFNRH,B0FJ8SFNRH,"NexLev 1500W Electric Water Kettle | 1.8L | 304 SS - Auto Cut Off | 3x Protection| Instant Boiling, Water, Tea, Coffee, Noodles, Soup | Cool Touch Handle & Lid | 3Mins Rapid Heating | Cordless | KE-03",293,3,0.09%,0.06%,377,4,0.09%,0.06%,89.79%,100.00%,3,0,1.02%,0.00%,"₹ 1,565.25",₹ 0.00,3,0
FBA79843,SC-04 Spare Set,B0FMF1D9NV,B0FMF1D9NV,NexLev Accessory Kit for 10-in-1 Steam Cleaner & Mop SC-04 | Multipurpose Attachments for Deep Cleaning,159,3,0.05%,0.06%,177,4,0.04%,0.06%,99.42%,100.00%,3,0,1.89%,0.00%,₹ 699.15,₹ 0.00,3,0
FBA78994,NP-01,B0CDQ98FDM,B0CDQ98FDM,"nexlev Travel Neck Pillow | Orthopedic Premium Memory Foam | for Airplane, Car, Train, Office use & Cervical Pain | Machine Washable | 360 Support | Carry Pouch for Storage | NP-01",34,0,0.01%,0.00%,44,0,0.01%,0.00%,100.00%,0.00%,2,0,5.88%,0.00%,"₹ 1,184.75",₹ 0.00,2,0
FBA79375,ET-03-BL,B0D2P6KF4N,B0D2P6KF4N,Nexlev Sonic Electric Toothbrush| Powerful Sonic technology|Super soft DuPont Bristles| 2 Replaceable Brush Heads with Cover| IPX7 Waterproof| AA Battery|Gentle Oral Care|Smart Smile ET-03 SkyBlue,15,1,0.00%,0.02%,20,1,0.00%,0.02%,100.00%,100.00%,2,0,13.33%,0.00%,₹ 506.78,₹ 0.00,2,0
FBA79332,HM-01,B0D63FKYZ5,B0D63FKYZ5,NexLev Scalp Massager for Stress Relief | Head Massager for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Massage | 120 Min Runtime | Type C | Washable Heads | 3 Modes | HM-01,421,3,0.13%,0.06%,557,10,0.14%,0.16%,51.22%,100.00%,2,0,0.48%,0.00%,"₹ 1,693.22",₹ 0.00,2,0
FBA79481,TM-02,B0DFMRG2K4,B0DFMRG2K4,"NexLev All in One Body Trimmer for Men | Suitable for Beard, Body, Balls, Pubic Hair, Private Parts | 90 Min Runtime |Type C | IPX 7 Waterproof | No Nicks No Cuts | 2 Safety Combs| Extra Blade | TM-02",368,6,0.12%,0.13%,476,6,0.12%,0.09%,84.81%,50.00%,2,0,0.54%,0.00%,"₹ 3,405.08",₹ 0.00,2,0
FBA79598,BM-02,B0DNJJKBKG,B0DNJJKBKG,NexLev Neck & Back Massager | Deep Tissue Shiatsu Roller | Cervical Pain Relief | 3 Speeds | 8 Kneading Nodes | Quick Pain Relief | Auto Shut Off | 1 year Warranty | BM-02,149,0,0.05%,0.00%,176,0,0.04%,0.00%,97.28%,0.00%,2,0,1.34%,0.00%,"₹ 3,371.19",₹ 0.00,2,0
FBA79688,MM-01,B0DV8TR64D,B0DV8TR64D,NexLev Full Body Massage Chair Mat | Deep Tissue Massage with 22 Air Compression Bags | Remote Control | Heat Therapy | Spa at Home | Foldable & Compact Design | Ideal for Back & Shoulder Pain MM-01,310,6,0.10%,0.13%,361,8,0.09%,0.13%,97.96%,100.00%,2,0,0.65%,0.00%,"₹ 16,947.46",₹ 0.00,2,0
